CSV; OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,hww,central,0,0.0,1.0,20,30,-1,1,0.90449117983734717
1,hww,up,0,0.0,1.0,20,30,-1,1,0.98369384779562574
1,hww,down,0,0.0,1.0,20,30,-1,1,0.8252885118790686
1,hww,central,1,0.0,1.0,20,30,-1,1,0.90449117983734717
1,hww,up,1,0.0,1.0,20,30,-1,1,0.98369384779562574
1,hww,down,1,0.0,1.0,20,30,-1,1,0.8252885118790686
1,hww,central,2,0.0,1.0,20,30,-1,1,0.38575142553448105
1,hww,up,2,0.0,1.0,20,30,-1,1,0.97848696576468319
1,hww,down,2,0.0,1.0,20,30,-1,1,-0.20698411469572109
0,hww,central,0,0.0,1.0,20,30,-1,1,0.91389277537032276
0,hww,up,0,0.0,1.0,20,30,-1,1,0.97787743979488528
0,hww,down,0,0.0,1.0,20,30,-1,1,0.84990811094576024
0,hww,central,1,0.0,1.0,20,30,-1,1,0.91389277537032276
0,hww,up,1,0.0,1.0,20,30,-1,1,0.97787743979488528
0,hww,down,1,0.0,1.0,20,30,-1,1,0.84990811094576024
0,hww,central,2,0.0,1.0,20,30,-1,1,1.0981928046016294
0,hww,up,2,0.0,1.0,20,30,-1,1,1.1293440259025349
0,hww,down,2,0.0,1.0,20,30,-1,1,1.0670415833007239
2,hww,central,0,0.0,1.0,20,30,-1,1,0.96111096560079201
2,hww,up,0,0.0,1.0,20,30,-1,1,1.1129913269444738
2,hww,down,0,0.0,1.0,20,30,-1,1,0.80923060425711024
2,hww,central,1,0.0,1.0,20,30,-1,1,0.96111096560079201
2,hww,up,1,0.0,1.0,20,30,-1,1,1.1129913269444738
2,hww,down,1,0.0,1.0,20,30,-1,1,0.80923060425711024
2,hww,central,2,0.0,1.0,20,30,-1,1,-6.8217549595922788
2,hww,up,2,0.0,1.0,20,30,-1,1,0.87555964761380078
2,hww,down,2,0.0,1.0,20,30,-1,1,-14.519069566798358
1,hww,central,0,1.0,2.5,20,30,-1,1,0.9701551711216243
1,hww,up,0,1.0,2.5,20,30,-1,1,1.0606698532596761
1,hww,down,0,1.0,2.5,20,30,-1,1,0.87964048898357239
1,hww,central,1,1.0,2.5,20,30,-1,1,0.9701551711216243
1,hww,up,1,1.0,2.5,20,30,-1,1,1.0606698532596761
1,hww,down,1,1.0,2.5,20,30,-1,1,0.87964048898357239
1,hww,central,2,1.0,2.5,20,30,-1,1,0.77403647282235466
1,hww,up,2,1.0,2.5,20,30,-1,1,1.077468954249444
1,hww,down,2,1.0,2.5,20,30,-1,1,0.47060399139526526
0,hww,central,0,1.0,2.5,20,30,-1,1,1.0104643524746941
0,hww,up,0,1.0,2.5,20,30,-1,1,1.0807538129645597
0,hww,down,0,1.0,2.5,20,30,-1,1,0.9401748919848284
0,hww,central,1,1.0,2.5,20,30,-1,1,1.0104643524746941
0,hww,up,1,1.0,2.5,20,30,-1,1,1.0807538129645597
0,hww,down,1,1.0,2.5,20,30,-1,1,0.9401748919848284
0,hww,central,2,1.0,2.5,20,30,-1,1,0.99843578593358506
0,hww,up,2,1.0,2.5,20,30,-1,1,1.0277897766586215
0,hww,down,2,1.0,2.5,20,30,-1,1,0.96908179520854854
2,hww,central,0,1.0,2.5,20,30,-1,1,0.79270226238508745
2,hww,up,0,1.0,2.5,20,30,-1,1,0.90931377919510903
2,hww,down,0,1.0,2.5,20,30,-1,1,0.67609074557506588
2,hww,central,1,1.0,2.5,20,30,-1,1,0.79270226238508745
2,hww,up,1,1.0,2.5,20,30,-1,1,0.90931377919510903
2,hww,down,1,1.0,2.5,20,30,-1,1,0.67609074557506588
2,hww,central,2,1.0,2.5,20,30,-1,1,0.77592134607143837
2,hww,up,2,1.0,2.5,20,30,-1,1,2.0123402505569028
2,hww,down,2,1.0,2.5,20,30,-1,1,-0.46049755841402618
1,hww,central,0,0.0,1.0,30,50,-1,1,0.94644836993411696
1,hww,up,0,0.0,1.0,30,50,-1,1,0.98241162673234628
1,hww,down,0,0.0,1.0,30,50,-1,1,0.91048511313588765
1,hww,central,1,0.0,1.0,30,50,-1,1,0.94644836993411696
1,hww,up,1,0.0,1.0,30,50,-1,1,0.98241162673234628
1,hww,down,1,0.0,1.0,30,50,-1,1,0.91048511313588765
1,hww,central,2,0.0,1.0,30,50,-1,1,-0.18232917584655811
1,hww,up,2,0.0,1.0,30,50,-1,1,0.85684678799467684
1,hww,down,2,0.0,1.0,30,50,-1,1,-1.2215051396877932
