# BEGIN HISTO1D hWZ_KF_CMS
# xlow   xhigh   val   errminus  errplus
500  580  1.001  0.0169247  0.0247412 
580  660  0.957554  0.0109048  0.0155525 
660  740  0.924196  0.00681646  0.00916608 
740  820  0.905961  0.00430789  0.00590974 
820  900  0.87399  0.00163467  0.00443969 
900  980  0.865749  0.00441945  0.00515206 
980  1060  0.857066  0.00660591  0.00630966 
1060  1140  0.842841  0.0104174  0.00756905 
1140  1220  0.84204  0.0111973  0.00782556 
1220  1300  0.841304  0.0135693  0.00860858 
1300  1380  0.829482  0.0152677  0.00957855 
1380  1460  0.837168  0.0145278  0.0090598 
1460  1540  0.825143  0.0173856  0.0104592 
1540  1620  0.83186  0.0176803  0.0101689 
1620  1700  0.802779  0.0244773  0.0131021 
1700  1780  0.827837  0.0200744  0.0109752 
1780  1860  0.812097  0.0228273  0.0123678 
1860  1940  0.791152  0.0289131  0.0144437 
1940  2020  0.858488  0.0169827  0.00804439 
2020  2100  0.833257  0.0216226  0.0103816 
2100  2180  0.828488  0.0250004  0.0114199 
2180  2260  0.829335  0.0257561  0.0117139 
2260  2340  0.825384  0.0266415  0.0122256 
2340  2420  0.827648  0.0270622  0.0120354 
2420  2500  0.824653  0.0290808  0.0122211 
2500  2580  0.795792  0.0350074  0.0157133 
2580  2660  0.810538  0.0333921  0.014048 
2660  2740  0.83143  0.0291687  0.0122959 
2740  2820  0.814788  0.0351858  0.0141714 
2820  2900  0.830054  0.0302557  0.0123442 
2900  2980  0.80189  0.0385348  0.0156164 
