# BEGIN HISTO1D evj_pTV_kappa_EW
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -3.411551e-03 1.844226e-05 1.844226e-05
4.000000e+01 5.000000e+01 -3.434055e-03 1.727183e-05 1.727183e-05
5.000000e+01 6.000000e+01 -9.476461e-03 1.951976e-05 1.951976e-05
6.000000e+01 7.000000e+01 -1.284853e-02 2.359728e-05 2.359728e-05
7.000000e+01 8.000000e+01 -1.608942e-02 2.737937e-05 2.737937e-05
8.000000e+01 9.000000e+01 -1.937046e-02 1.952543e-05 1.952543e-05
9.000000e+01 1.000000e+02 -2.282441e-02 2.035149e-05 2.035149e-05
1.000000e+02 1.100000e+02 -2.635473e-02 2.298992e-05 2.298992e-05
1.100000e+02 1.200000e+02 -3.007066e-02 2.589456e-05 2.589456e-05
1.200000e+02 1.300000e+02 -3.374936e-02 2.966992e-05 2.966992e-05
1.300000e+02 1.400000e+02 -3.749210e-02 3.393788e-05 3.393788e-05
1.400000e+02 1.500000e+02 -4.137107e-02 3.862169e-05 3.862169e-05
1.500000e+02 2.000000e+02 -5.085842e-02 2.230569e-05 2.230569e-05
2.000000e+02 2.500000e+02 -6.942355e-02 3.982098e-05 3.982098e-05
2.500000e+02 3.000000e+02 -8.665799e-02 6.536719e-05 6.536719e-05
3.000000e+02 3.500000e+02 -1.025011e-01 3.044886e-05 3.044886e-05
3.500000e+02 4.000000e+02 -1.168525e-01 4.286375e-05 4.286375e-05
4.000000e+02 4.500000e+02 -1.302904e-01 5.948657e-05 5.948657e-05
4.500000e+02 5.000000e+02 -1.425392e-01 7.925685e-05 7.925685e-05
5.000000e+02 5.500000e+02 -1.537943e-01 1.002440e-04 1.002440e-04
5.500000e+02 6.000000e+02 -1.643304e-01 1.277281e-04 1.277281e-04
6.000000e+02 6.500000e+02 -1.745196e-01 1.354015e-04 1.354015e-04
6.500000e+02 7.000000e+02 -1.836865e-01 1.626750e-04 1.626750e-04
7.000000e+02 7.500000e+02 -1.925859e-01 1.943184e-04 1.943184e-04
7.500000e+02 8.000000e+02 -2.008671e-01 2.257474e-04 2.257474e-04
8.000000e+02 8.500000e+02 -2.082002e-01 2.660057e-04 2.660057e-04
8.500000e+02 9.000000e+02 -2.167887e-01 2.969296e-04 2.969296e-04
9.000000e+02 9.500000e+02 -2.238926e-01 3.341762e-04 3.341762e-04
9.500000e+02 1.000000e+03 -2.305239e-01 3.943437e-04 3.943437e-04
1.000000e+03 1.100000e+03 -2.402976e-01 3.262804e-04 3.262804e-04
1.100000e+03 1.200000e+03 -2.528105e-01 3.970199e-04 3.970199e-04
1.200000e+03 1.300000e+03 -2.653624e-01 4.889961e-04 4.889961e-04
1.300000e+03 1.400000e+03 -2.761769e-01 5.740602e-04 5.740602e-04
1.400000e+03 1.600000e+03 -2.920756e-01 5.122465e-04 5.122465e-04
1.600000e+03 1.800000e+03 -3.124239e-01 7.033470e-04 7.033470e-04
1.800000e+03 2.000000e+03 -3.305223e-01 9.397080e-04 9.397080e-04
2.000000e+03 2.200000e+03 -3.547541e-01 1.152435e-03 1.152435e-03
2.200000e+03 2.400000e+03 -3.738404e-01 1.423607e-03 1.423607e-03
2.400000e+03 2.600000e+03 -3.996936e-01 1.717386e-03 1.717386e-03
2.600000e+03 2.800000e+03 -4.191178e-01 2.127919e-03 2.127919e-03
2.800000e+03 3.000000e+03 -4.457284e-01 2.632899e-03 2.632899e-03
3.000000e+03 6.500000e+03 -4.897256e-01 2.365624e-03 2.365624e-03
# END HISTO1D
