#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#                                                        
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff     deff_high       deff_low
-2.4    -2.1    10      12      0.921624        0.0176258        0.0192463                                         0.919949        0.0118469        0.012501
-2.1    -1.6    10      12      0.912488        0.0154526        0.0164158                                         0.93805 0.00761369       0.00781973
-1.6    -1.2    10      12      0.899262        0.0182823        0.0196513                                         0.918611        0.0141327        0.00961034
-1.2    -0.8    10      12      0.879671        0.0209596        0.0223493                                         0.893384        0.012984         0.0137612
-0.8    -0.3    10      12      0.883905        0.0328055        0.0347409                                         0.890171        0.0176163        0.0189381
-0.3    0.3     10      12      0.855765        0.0361981        0.0375103                                         0.849681        0.0241443        0.0252658
0.3     0.8     10      12      0.853711        0.0305577        0.0323386                                         0.871519        0.0158404        0.0167487
0.8     1.2     10      12      0.873715        0.0239614        0.0255251                                         0.920313        0.0112389        0.0120277
1.2     1.6     10      12      0.905102        0.0189797        0.0201109                                         0.91928 0.0150841        0.0107874
1.6     2.1     10      12      0.96064         0.0124986        0.0135488                                         0.93017 0.00950952       0.0100708
2.1     2.4     10      12      0.94794         0.0200771        0.0221331                                         0.929733        0.012168         0.0130554
-2.4    -2.1    12      14      0.94693         0.0163493        0.0176436                                         0.959871        0.00783719       0.00858055
-2.1    -1.6    12      14      0.958083        0.0100695        0.0110529                                         0.943196        0.00736927       0.00819401
-1.6    -1.2    12      14      0.956279        0.0117068        0.0128153                                         0.930791        0.00751899       0.00810092
-1.2    -0.8    12      14      0.945594        0.0137578        0.0150475                                         0.924957        0.0088764        0.00941543
-0.8    -0.3    12      14      0.902161        0.0183012        0.01956                                         0.906875        0.0114815        0.0118361
-0.3    0.3     12      14      0.827852        0.0240232        0.0250454                                         0.884646        0.000970064      0.000970064
0.3     0.8     12      14      0.881333        0.0214186        0.0224835                                         0.909777        0.0127115        0.0138903
0.8     1.2     12      14      0.923339        0.0144862        0.0156654                                         0.92444 0.0095234        0.00996475
