#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff          deff_high       deff_low
-2.4    -2.1    10      12      0.754688        0.0215523        0.0222492                                           0.816752        0.0219722        0.0229376
-2.1    -1.6    10      12      0.748162        0.0146714        0.0149898                                           0.784612        0.0185831        0.0199337
-1.6    -1.2    10      12      0.736215        0.0176563        0.0179886                                           0.741651        0.018337         0.018218
-1.2    -0.8    10      12      0.650297        0.021766         0.0219047                                           0.673476        0.0210189        0.0233566
-0.8    -0.3    10      12      0.644096        0.0245998        0.0249814                                           0.619974        0.0276633        0.0285511
-0.3    0.3     10      12      0.56232         0.0303646        0.0303418                                           0.634256        0.0366238        0.0361134
0.3     0.8     10      12      0.606909        0.0253103        0.0252987                                           0.60837 0.0300367        0.0305575
0.8     1.2     10      12      0.69041         0.0202204        0.0209143                                           0.68643 0.0240383        0.0240896
1.2     1.6     10      12      0.709967        0.0171628        0.0173694                                           0.72322 0.018719         0.0194095
1.6     2.1     10      12      0.738005        0.0147354        0.0149729                                           0.77916 0.0161012        0.0164548
2.1     2.4     10      12      0.733919        0.0208843        0.0212752                                           0.809594        0.0178999        0.0187701
-2.4    -2.1    12      14      0.797351        0.0162312        0.0166243                                           0.838511        0.0179791        0.018142
-2.1    -1.6    12      14      0.793085        0.0122979        0.0125707                                           0.820206        0.0135174        0.0136746
-1.6    -1.2    12      14      0.758373        0.0137713        0.0140911                                           0.786196        0.0143434        0.0148768
-1.2    -0.8    12      14      0.709192        0.0158204        0.0159591                                           0.728742        0.0181379        0.0184022
-0.8    -0.3    12      14      0.631255        0.00108919       0.00108919                                           0.721422        0.021879         0.0224753
-0.3    0.3     12      14      0.658355        0.0218817        0.0221811                                           0.635504        0.0242554        0.0241777
0.3     0.8     12      14      0.714584        0.0176997        0.0178729                                           0.703335        0.0223503        0.0222096
0.8     1.2     12      14      0.709318        0.0159251        0.0162023                                           0.726467        0.0177508        0.0180458
1.2     1.6     12      14      0.756714        0.0144857        0.0148233                                           0.794685        0.0151096        0.0154659
1.6     2.1     12      14      0.786603        0.0120569        0.0123483                                           0.817832        0.0138733        0.0145605
2.1     2.4     12      14      0.778467        0.0164352        0.0168815                                           0.820689        0.0167508        0.017781
-2.4    -2.1    14      16      0.802702        0.0116374        0.0119606                                           0.866616        0.014256         0.0142589
-2.1    -1.6    14      16      0.817696        0.00949463       0.00966801                                           0.851581        0.0107056        0.0109721
-1.6    -1.2    14      16      0.80538         0.0114427        0.0117817                                           0.810621        0.0132943        0.0132519
-1.2    -0.8    14      16      0.757275        0.0126606        0.0128316                                           0.801367        0.000978479      0.000978479
-0.8    -0.3    14      16      0.724784        0.0139318        0.0140983                                           0.7255  0.0172705        0.0143002
-0.3    0.3     14      16      0.682955        0.0151507        0.0153101                                           0.69216 0.0180061        0.0181072
0.3     0.8     14      16      0.680946        0.0141754        0.0143836                                           0.723383        0.0159282        0.016088
0.8     1.2     14      16      0.764965        0.0127402        0.0128861                                           0.760473        0.0147324        0.0145684
1.2     1.6     14      16      0.783334        0.0117443        0.0119334                                           0.785962        0.0136577        0.013839
1.6     2.1     14      16      0.806508        0.010198         0.010319                                           0.837514        0.0107601        0.0109114
2.1     2.4     14      16      0.816438        0.0138812        0.014263                                           0.85728 0.0146822        0.0150965
-2.4    -2.1    16      18      0.844324        0.0117215        0.0122331                                           0.871357        0.012707         0.013648
