#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                        eff     deff_high       deff_low
-2.4    -2.1    10      13      0.773807        0.00991219       0.0147608                             0.801402        0.0101027        0.0101812
-2.1    -1.6    10      13      0.767831        0.00724865       0.00733254                            0.777393        0.00820649       0.00811643
-1.6    -1.2    10      13      0.72238 0.00874427       0.00882297                                    0.753904        0.0094715        0.00962459
-1.2    -0.8    10      13      0.679715        0.0099338        0.00998074                            0.695521        0.0100465        0.0100044
-0.8    -0.3    10      13      0.619403        0.0119366        0.0119999                             0.677637        0.0118533        0.0117537
-0.3    -0.2    10      13      0.587505        0.0307155        0.0310755                             0.635289        0.0377696        0.0344691
-0.2    0.2     10      13      0.625008        0.0167732        0.0168786                             0.633824        0.0185628        0.0192856
0.2     0.3     10      13      0.597436        0.0350649        0.0355992                             0.670099        0.0335808        0.0342658
0.3     0.8     10      13      0.642881        0.0113597        0.0113614                             0.672488        0.0120314        0.0120142
0.8     1.2     10      13      0.664642        0.00982757       0.00983295                            0.709929        0.0108862        0.0107464
1.2     1.6     10      13      0.72105 0.00904388       0.0088252                                     0.732734        0.008678         0.00877762
1.6     2.1     10      13      0.766241        0.00719566       0.00727959                            0.792415        0.00791327       0.00798361
2.1     2.4     10      13      0.769742        0.00976047       0.00989455                            0.792235        0.0101003        0.0101273
-2.4    -2.1    13      16      0.812263        0.00735834       0.00752121                            0.849114        0.00814543       0.00791834
-2.1    -1.6    13      16      0.803262        0.00561325       0.0056828                             0.834913        0.00618304       0.00641593
-1.6    -1.2    13      16      0.785648        0.00622238       0.00630302                            0.802996        0.0072814        0.00738008
-1.2    -0.8    13      16      0.731446        0.0069991        0.00704814                            0.758724        0.00756596       0.00763509
-0.8    -0.3    13      16      0.70145 0.00755075       0.00759543                                    0.732871        0.00789751       0.00786625
-0.3    -0.2    13      16      0.670944        0.0205928        0.0227697                             0.693464        0.0181466        0.0187405
-0.2    0.2     13      16      0.657557        0.0100189        0.0100779                             0.662045        0.0107305        0.0107606
0.2     0.3     13      16      0.656663        0.0195041        0.0196885                             0.665751        0.0217661        0.0219272
0.3     0.8     13      16      0.692815        0.00734188       0.00738668                            0.727328        0.00750251       0.00751164
0.8     1.2     13      16      0.745786        0.00695922       0.00701552                            0.742657        0.00754894       0.00759423
1.2     1.6     13      16      0.770782        0.00649578       0.00655321                            0.792468        0.00697543       0.00702381
1.6     2.1     13      16      0.796229        0.00558531       0.00565196                            0.830917        0.00605098       0.00605557
2.1     2.4     13      16      0.796945        0.00780299       0.00794802                            0.845735        0.00839887       0.00864887
-2.4    -2.1    16      20      0.856563        0.00463555       0.00472567                            0.886483        0.00533215       0.0055996
-2.1    -1.6    16      20      0.856754        0.00332405       0.00337283                            0.876047        0.0046806        0.0050827
-1.6    -1.2    16      20      0.824786        0.00396635       0.00400644                            0.852766        0.00433306       0.00433015
-1.2    -0.8    16      20      0.792274        0.00433492       0.0043772                             0.807576        0.00480542       0.00481877
-0.8    -0.3    16      20      0.762401        0.00429597       0.00433868                            0.792161        0.00432406       0.00434644
-0.3    -0.2    16      20      0.727578        0.0112091        0.0114492                             0.747483        0.0129231        0.0120079
-0.2    0.2     16      20      0.725119        0.00570125       0.00577061                            0.751319        0.00581836       0.00583265
0.2     0.3     16      20      0.741162        0.0124165        0.0112141                              0.754892        0.0115301        0.0116099
0.3     0.8     16      20      0.768477        0.00418096       0.00421385                             0.795209        0.00444859       0.00446199
0.8     1.2     16      20      0.794696        0.004278         0.00431959                             0.811622        0.00494161       0.00494318
1.2     1.6     16      20      0.830433        0.00391803       0.00395973                             0.848964        0.00459033       0.00465797
