#                                                 data                                                      MC                     
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                     eff          deff_high       deff_low       
  -2.40  -2.10  10.00  13.00         0.8647  0.0159  0.0160       0.9383   0.0078   0.0081  
  -2.10  -1.60  10.00  13.00         0.9522  0.0103  0.0104       0.9750   0.0040   0.0042  
  -1.60  -1.20  10.00  13.00         0.9624  0.0091  0.0095       0.9776   0.0040   0.0042  
  -1.20  -0.80  10.00  13.00         0.8955  0.0126  0.0127       0.9598   0.0052   0.0054  
  -0.80  -0.30  10.00  13.00         0.9508  0.0154  0.0157       0.9799   0.0047   0.0050  
  -0.30  -0.20  10.00  13.00         0.8310  0.0410  0.0416       0.8726   0.0220   0.0236  
  -0.20  0.20  10.00  13.00         0.9335  0.0210  0.0214       0.9656   0.0082   0.0090  
  0.20  0.30  10.00  13.00         0.8649  0.0479  0.0487       0.8835   0.0268   0.0269  
  0.30  0.80  10.00  13.00         0.9450  0.0139  0.0141       0.9706   0.0055   0.0059  
  0.80  1.20  10.00  13.00         0.9226  0.0122  0.0124       0.9649   0.0052   0.0055  
  1.20  1.60  10.00  13.00         0.9609  0.0101  0.0104       0.9782   0.0041   0.0043  
  1.60  2.10  10.00  13.00         0.9396  0.0108  0.0109       0.9621   0.0045   0.0047  
  2.10  2.40  10.00  13.00         0.9223  0.0167  0.0168       0.9382   0.0071   0.0074  
  -2.40  -2.10  13.00  16.00         0.9022  0.0111  0.0111       0.9426   0.0055   0.0057  
  -2.10  -1.60  13.00  16.00         0.9594  0.0061  0.0063       0.9806   0.0027   0.0028  
  -1.60  -1.20  13.00  16.00         0.9640  0.0059  0.0061       0.9829   0.0027   0.0028  
  -1.20  -0.80  13.00  16.00         0.9308  0.0072  0.0074       0.9563   0.0036   0.0038  
  -0.80  -0.30  13.00  16.00         0.9435  0.0076  0.0078       0.9781   0.0029   0.0030  
  -0.30  -0.20  13.00  16.00         0.8208  0.0278  0.0283       0.9051   0.0119   0.0125  
  -0.20  0.20  13.00  16.00         0.9376  0.0112  0.0114       0.9648   0.0049   0.0052  
  0.20  0.30  13.00  16.00         0.8513  0.0233  0.0239       0.8748   0.0137   0.0143  
  0.30  0.80  13.00  16.00         0.9389  0.0076  0.0078       0.9766   0.0030   0.0031  
  0.80  1.20  13.00  16.00         0.9145  0.0075  0.0077       0.9624   0.0036   0.0038  
  1.20  1.60  13.00  16.00         0.9691  0.0063  0.0065       0.9866   0.0026   0.0028  
  1.60  2.10  13.00  16.00         0.9639  0.0063  0.0064       0.9766   0.0030   0.0031  
  2.10  2.40  13.00  16.00         0.8911  0.0112  0.0113       0.9474   0.0058   0.0060  
  -2.40  -2.10  16.00  20.00         0.9122  0.0065  0.0066       0.9434   0.0037   0.0038  
  -2.10  -1.60  16.00  20.00         0.9636  0.0034  0.0034       0.9816   0.0017   0.0018  
  -1.60  -1.20  16.00  20.00         0.9680  0.0033  0.0034       0.9869   0.0016   0.0017  
  -1.20  -0.80  16.00  20.00         0.9305  0.0042  0.0043       0.9682   0.0022   0.0022  
  -0.80  -0.30  16.00  20.00         0.9543  0.0037  0.0038       0.9826   0.0014   0.0015  
  -0.30  -0.20  16.00  20.00         0.8429  0.0130  0.0132       0.8876   0.0073   0.0075  
  -0.20  0.20  16.00  20.00         0.9441  0.0051  0.0052       0.9767   0.0022   0.0023  
  0.20  0.30  16.00  20.00         0.8481  0.0131  0.0136       0.8917   0.0083   0.0085  
  0.30  0.80  16.00  20.00         0.9533  0.0036  0.0037       0.9832   0.0015   0.0016  
  0.80  1.20  16.00  20.00         0.9386  0.0041  0.0042       0.9606   0.0022   0.0022  
  1.20  1.60  16.00  20.00         0.9767  0.0032  0.0033       0.9881   0.0015   0.0016  
  1.60  2.10  16.00  20.00         0.9653  0.0036  0.0036       0.9812   0.0017   0.0018  
  2.10  2.40  16.00  20.00         0.9197  0.0065  0.0066       0.9500   0.0035   0.0035  
  -2.40  -2.10  20.00  25.00         0.9132  0.0041  0.0042       0.9604   0.0021   0.0022  
  -2.10  -1.60  20.00  25.00         0.9681  0.0019  0.0019       0.9871   0.0009   0.0009  
  -1.60  -1.20  20.00  25.00         0.9796  0.0016  0.0017       0.9908   0.0009   0.0009  
