#
#    First two columns are Eta range.
#    Next 2 columns are PT range.
#    Column 5 & 6 & 7 shows the efficiency in data and statistical error.
#    Column 8 & 9 & 10 shows the efficiency in MC and statistical error.
#    Column 11 onwards (if available) shows the systematics uncertainty 
#
#    
#                                                 data                                                      MC
#     etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                      eff     deff_high       deff_low
-2.4    -2.1    10      13      1       0        0.0181651                                 0.982565        0.0174347        0.0218963
-2.1    -1.6    10      13      0.999773        0.000227355      0.0533268                 0.992827        0.00717338       0.014815
-1.6    -1.2    10      13      1       0        0.0292403                                 0.985182        0.0148177        0.0197917
-1.2    -0.8    10      13      0.834721        0.0494501        0.0448566                 1       0        0.0159829
-0.8    -0.3    10      13      0.965164        0.034836         0.0782592                 1       0        0.00878139
-0.3    0.3     10      13      0.999997        3.15305e-06      0.0788906                 1       0        0.025214
0.3     0.8     10      13      0.934006        0.0659937        0.0778326                 0.911798        0.0324062        0.0313883
0.8     1.2     10      13      0.855612        0.0579545        0.0521479                 0.962559        0.0249704        0.0245473
1.2     1.6     10      13      0.879197        0.0571584        0.0512556                 0.983284        0.0167165        0.0196
1.6     2.1     10      13      0.853879        0.04376  0.0401233                         0.992703        0.00729666       0.0169208
2.1     2.4     10      13      1       0        0.0420857                                 0.959085        0.0219468        0.0218103
-2.4    -2.1    13      16      1       0        0.0172239                                 0.945232        0.0129677        0.0126817
-2.1    -1.6    13      16      0.993861        0.0061389        0.0250283                 1       4.3206e-06       4.3206e-06
-1.6    -1.2    13      16      0.974728        0.0252718        0.0311548                 0.989673        0.00982288       0.0102177
-1.2    -0.8    13      16      1       0        0.0322007                                 0.995077        0.00492264       0.0116317
-0.8    -0.3    13      16      0.934263        0.0386951        0.0364837                 1       0        0.00728289
-0.3    0.3     13      16      0.964076        0.0359245        0.0450039                 0.95687 0.020001         0.0197619
0.3     0.8     13      16      0.977825        0.0221754        0.0406021                 0.991698        0.00830201       0.0157327
