# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      15      0       0        0
-2.1    -1.6    10      15      0       0        0
-1.6    -1.2    10      15      0       0        0
-1.2    -0.8    10      15      0       0        0
-0.8    -0.3    10      15      0       0        0
-0.3    -0.2    10      15      0       0        0
-0.2    0.2     10      15      0       0        0
0.2     0.3     10      15      0       0        0
0.3     0.8     10      15      0       0        0
0.8     1.2     10      15      0       0        0
1.2     1.6     10      15      0       0        0
1.6     2.1     10      15      0       0        0
2.1     2.4     10      15      0       0        0
-2.4    -2.1    15      16      0.048525        0.0419064        0.0265966
-2.1    -1.6    15      16      0.0107232       0.0143317        0.00748456
-1.6    -1.2    15      16      0       0        0
-1.2    -0.8    15      16      0       0        0
-0.8    -0.3    15      16      0       0        0
-0.3    -0.2    15      16      0       0        0
-0.2    0.2     15      16      0       0        0
0.2     0.3     15      16      0       0        0
0.3     0.8     15      16      0       0        0
0.8     1.2     15      16      0       0        0
1.2     1.6     15      16      0       0        0
1.6     2.1     15      16      0       0        0
2.1     2.4     15      16      0.0344846       0.02945  0.01886
-2.4    -2.1    16      17      0.115835        0.0455253        0.0371594
-2.1    -1.6    16      17      0.0653836       0.0233385        0.024659
-1.6    -1.2    16      17      0.0540142       0.0287015        0.0288191
-1.2    -0.8    16      17      0.0328401       0.0221192        0.0153722
-0.8    -0.3    16      17      0.049382        0.0278297        0.0204557
-0.3    -0.2    16      17      0       0        0
-0.2    0.2     16      17      0.0409294       0.034793         0.0348463
0.2     0.3     16      17      0       0        0
0.3     0.8     16      17      0.0224341       0.0198803        0.0123191
0.8     1.2     16      17      0.0768184       0.0308261        0.0250131
1.2     1.6     16      17      0.0497801       0.022345         0.0173735
1.6     2.1     16      17      0.0677997       0.0256364        0.02076
2.1     2.4     16      17      0.136241        0.0513582        0.0417225
-2.4    -2.1    17      18      0.675249        0.0538291        0.0570987
-2.1    -1.6    17      18      0.746844        0.0378905        0.0402129
-1.6    -1.2    17      18      0.866089        0.036006         0.0407416
-1.2    -0.8    17      18      0.897409        0.027109         0.0323963
-0.8    -0.3    17      18      0.893376        0.0373545        0.04252
-0.3    -0.2    17      18      0.877762        0.0630255        0.0818321
-0.2    0.2     17      18      0.899224        0.0330144        0.0423843
0.2     0.3     17      18      0.698371        0.125764         0.139495
0.3     0.8     17      18      0.882354        0.0273751        0.0316532
0.8     1.2     17      18      0.860103        0.0325702        0.037764
1.2     1.6     17      18      0.819673        0.0330127        0.0365028
1.6     2.1     17      18      0.743741        0.0449912        0.0473342
2.1     2.4     17      18      0.514479        0.0658444        0.068056
-2.4    -2.1    18      19      0.757762        0.0449385        0.0489399
-2.1    -1.6    18      19      0.865937        0.0248088        0.0278071
-1.6    -1.2    18      19      0.898519        0.0238039        0.0275808
-1.2    -0.8    18      19      0.958045        0.018639         0.0241643
-0.8    -0.3    18      19      0.970597        0.016871         0.020764
-0.3    -0.2    18      19      0.800547        0.0889829        0.118697
-0.2    0.2     18      19      0.97486 0.0137797        0.0216703
0.2     0.3     18      19      0.882381        0.0630164        0.0924313
0.3     0.8     18      19      0.959791        0.0167232        0.0216327
0.8     1.2     18      19      0.878398        0.0295135        0.0339841
1.2     1.6     18      19      0.951346        0.0170259        0.0219582
1.6     2.1     18      19      0.857189        0.0292333        0.0317312
2.1     2.4     18      19      0.738648        0.0558816        0.0524992
-2.4    -2.1    19      20      0.802198        0.0394737        0.0438955
-2.1    -1.6    19      20      0.891575        0.0233652        0.025944
-1.6    -1.2    19      20      0.96842 0.0132003        0.0170559
-1.2    -0.8    19      20      0.973541        0.0124129        0.0179788
-0.8    -0.3    19      20      0.91464 0.0201329        0.0235116
-0.3    -0.2    19      20      0.844792        0.0697867        0.0831279
-0.2    0.2     19      20      0.907536        0.0253871        0.0317606
0.2     0.3     19      20      0.688448        0.104896         0.11991
0.3     0.8     19      20      0.959144        0.0127149        0.0162552
0.8     1.2     19      20      0.927887        0.0249314        0.0255316
1.2     1.6     19      20      0.92868 0.0191129        0.0229963
1.6     2.1     19      20      0.878737        0.0307918        0.0355308
2.1     2.4     19      20      0.778908        0.0446923        0.0501033
-2.4    -2.1    20      25      0.815733        0.0162473        0.0166977
-2.1    -1.6    20      25      0.885228        0.00932881       0.00953892
-1.6    -1.2    20      25      0.946246        0.00724116       0.00772015
-1.2    -0.8    20      25      0.923125        0.00760903       0.00823229
-0.8    -0.3    20      25      0.94715 0.00598242       0.00631333
-0.3    -0.2    20      25      0.791297        0.0245849        0.0262301
-0.2    0.2     20      25      0.936928        0.00738891       0.00769519
0.2     0.3     20      25      0.814704        0.0245267        0.0265661
0.3     0.8     20      25      0.952568        0.00648003       0.00691073
0.8     1.2     20      25      0.9338  0.00872683       0.00796062
1.2     1.6     20      25      0.942286        0.00723484       0.00759827
1.6     2.1     20      25      0.901945        0.00768039       0.00805589
2.1     2.4     20      25      0.770302        0.0163618        0.0165048
-2.4    -2.1    25      30      0.807009        0.0120937        0.0125377
-2.1    -1.6    25      30      0.899338        0.00726954       0.00803212
-1.6    -1.2    25      30      0.952818        0.00510941       0.00537582
-1.2    -0.8    25      30      0.939348        0.00595646       0.00622586
-0.8    -0.3    25      30      0.942541        0.00458494       0.00470969
-0.3    -0.2    25      30      0.82006 0.018109         0.018993
-0.2    0.2     25      30      0.93443 0.00493224       0.00550946
0.2     0.3     25      30      0.844033        0.0148729        0.0155515
0.3     0.8     25      30      0.942303        0.00431222       0.00454858
0.8     1.2     25      30      0.93302 0.00629438       0.00664132
1.2     1.6     25      30      0.943452        0.00582653       0.00613983
1.6     2.1     25      30      0.926204        0.00652408       0.00673583
2.1     2.4     25      30      0.817494        0.0133594        0.0135273
-2.4    -2.1    30      40      0.863297        0.00666505       0.00679899
-2.1    -1.6    30      40      0.915103        0.00352683       0.00355906
-1.6    -1.2    30      40      0.946063        0.00286727       0.00292581
-1.2    -0.8    30      40      0.934493        0.00307641       0.00310839
-0.8    -0.3    30      40      0.944537        0.0022627        0.00227323
-0.3    -0.2    30      40      0.805095        0.00846384       0.00862237
-0.2    0.2     30      40      0.933532        0.00254566       0.00258389
0.2     0.3     30      40      0.849112        0.00729  0.00756374
0.3     0.8     30      40      0.945844        0.00209748       0.0021209
0.8     1.2     30      40      0.931453        0.00303638       0.00309316
1.2     1.6     30      40      0.948008        0.0025882        0.00267566
1.6     2.1     30      40      0.922521        0.00340364       0.00327536
2.1     2.4     30      40      0.862664        0.000338878      0.000338878
-2.4    -2.1    40      60      0.881095        0.0052561        0.00534579
-2.1    -1.6    40      60      0.920531        0.00268821       0.00273019
-1.6    -1.2    40      60      0.943813        0.00227576       0.00227576
-1.2    -0.8    40      60      0.935116        0.00227455       0.00228479
-0.8    -0.3    40      60      0.942635        0.00761141       0.00769752
-0.3    -0.2    40      60      0.812508        0.00761141       0.00769752
-0.2    0.2     40      60      0.927355        0.00219067       0.00221667
0.2     0.3     40      60      0.847796        0.0065118        0.00665331
0.3     0.8     40      60      0.947187        0.00178762       0.0018167
0.8     1.2     40      60      0.931254        0.00235635       0.00239959
1.2     1.6     40      60      0.945932        0.00304613       0.00219272
1.6     2.1     40      60      0.92614 0.00260212       0.00264346
2.1     2.4     40      60      0.875745        0.00543388       0.00552003
-2.4    -2.1    60      100     0.932167        0.01637  0.0176022
-2.1    -1.6    60      100     0.930459        0.00821214       0.00859318
-1.6    -1.2    60      100     0.889979        0.00909679       0.00961687
-1.2    -0.8    60      100     0.927598        0.00699866       0.0076974
-0.8    -0.3    60      100     0.933476        0.00932588       0.0127343
-0.3    -0.2    60      100     0.77337 0.0233684        0.0245098
