# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      15      0       0        0
-2.1    -1.6    10      15      0       0        0
-1.6    -1.2    10      15      0       0        0
-1.2    -0.8    10      15      0       0        0
-0.8    -0.3    10      15      0       0        0
-0.3    -0.2    10      15      0       0        0
-0.2    0.2     10      15      0       0        0
0.2     0.3     10      15      0       0        0
0.3     0.8     10      15      0       0        0
0.8     1.2     10      15      0       0        0
1.2     1.6     10      15      0       0        0
1.6     2.1     10      15      0       0        0
2.1     2.4     10      15      0       0        0
-2.4    -2.1    15      16      0       0        0
-2.1    -1.6    15      16      0       0        0
-1.6    -1.2    15      16      0       0        0
-1.2    -0.8    15      16      0       0        0
-0.8    -0.3    15      16      0       0        0
-0.3    -0.2    15      16      0       0        0
-0.2    0.2     15      16      0       0        0
0.2     0.3     15      16      0       0        0
0.3     0.8     15      16      0       0        0
0.8     1.2     15      16      0       0        0
1.2     1.6     15      16      0       0        0
1.6     2.1     15      16      0       0        0
2.1     2.4     15      16      0.0149307       0.0134476        0.00862
-2.4    -2.1    16      17      0.0765508       0.0230351        0.0195607
-2.1    -1.6    16      17      0.050529        0.0137034        0.0117339
-1.6    -1.2    16      17      0.0427349       0.0138514        0.0114619
-1.2    -0.8    16      17      0.0371103       0.0135255        0.0109161
-0.8    -0.3    16      17      0.0314268       0.0153338        0.0125394
-0.3    -0.2    16      17      0.0269816       0.0924523        0.0256973
-0.2    0.2     16      17      0.0333184       0.0190136        0.0138721
0.2     0.3     16      17      0.039999        0.0546718        0.0399036
0.3     0.8     16      17      0       0        0
0.8     1.2     16      17      0.0254135       0.0116133        0.00894135
1.2     1.6     16      17      0.0355182       0.0157631        0.0131932
1.6     2.1     16      17      0.0432671       0.0129048        0.0113627
2.1     2.4     16      17      0.0344842       0.015809         0.0121566
-2.4    -2.1    17      18      0.685452        0.0354491        0.0382928
-2.1    -1.6    17      18      0.834284        0.019822         0.0215153
-1.6    -1.2    17      18      0.877216        0.0190144        0.0209301
-1.2    -0.8    17      18      0.724708        0.0293712        0.0290723
-0.8    -0.3    17      18      0.965136        0.0122976        0.0152139
-0.3    -0.2    17      18      0.641372        0.076246         0.0803073
-0.2    0.2     17      18      0.893655        0.022229         0.0254196
0.2     0.3     17      18      0.566665        0.0740975        0.0737362
0.3     0.8     17      18      0.900463        0.017652         0.0198606
0.8     1.2     17      18      0.631208        0.0310041        0.0322486
1.2     1.6     17      18      0.866546        0.0197437        0.0216867
1.6     2.1     17      18      0.847913        0.0224927        0.0247122
2.1     2.4     17      18      0.564082        0.0404015        0.0412014
-2.4    -2.1    18      19      0.73487 0.0302268        0.0320664
-2.1    -1.6    18      19      0.899236        0.0156188        0.0159275
-1.6    -1.2    18      19      0.896369        0.01718  0.0189328
-1.2    -0.8    18      19      0.731356        0.0260222        0.0271997
-0.8    -0.3    18      19      0.974868        0.0251324        0.00918222
-0.3    -0.2    18      19      0.713628        0.0713167        0.0757108
-0.2    0.2     18      19      0.897552        0.0239954        0.0246221
0.2     0.3     18      19      0.719575        0.0564572        0.0621295
0.3     0.8     18      19      0.978436        0.00691688       0.0086897
0.8     1.2     18      19      0.722579        0.0251179        0.0264037
1.2     1.6     18      19      0.899141        0.0156166        0.0172756
1.6     2.1     18      19      0.894576        0.0164093        0.0177139
2.1     2.4     18      19      0.679339        0.0310105        0.0389622
-2.4    -2.1    19      20      0.77665 0.0283097        0.0287808
-2.1    -1.6    19      20      0.90935 0.0148011        0.0160484
-1.6    -1.2    19      20      0.940201        0.0176161        0.0135398
-1.2    -0.8    19      20      0.802909        0.0209667        0.0223309
-0.8    -0.3    19      20      0.955571        0.00928892       0.0108581
-0.3    -0.2    19      20      0.746656        0.0573158        0.0618143
-0.2    0.2     19      20      0.906573        0.0178478        0.0196511
0.2     0.3     19      20      0.76461 0.0520795        0.057928
0.3     0.8     19      20      0.97205 0.00918796       0.0106466
0.8     1.2     19      20      0.818981        0.0240698        0.0250491
1.2     1.6     19      20      0.923762        0.0200255        0.0149999
1.6     2.1     19      20      0.892246        0.0151945        0.0162221
2.1     2.4     19      20      0.73523 0.0359789        0.0315987
-2.4    -2.1    20      21      0.793714        0.0234891        0.0245258
-2.1    -1.6    20      21      0.911407        0.0119717        0.013083
-1.6    -1.2    20      21      0.92921 0.0133881        0.0145361
-1.2    -0.8    20      21      0.749923        0.0214118        0.0218204
-0.8    -0.3    20      21      0.961964        0.00916388       0.0103543
-0.3    -0.2    20      21      0.740931        0.0505285        0.0433321
-0.2    0.2     20      21      0.867608        0.0190113        0.0208803
0.2     0.3     20      21      0.707614        0.0528357        0.0576412
0.3     0.8     20      21      0.937665        0.01099  0.0119306
0.8     1.2     20      21      0.816214        0.0183599        0.0196728
1.2     1.6     20      21      0.934439        0.0115428        0.0136955
1.6     2.1     20      21      0.911841        0.0120881        0.0128648
2.1     2.4     20      21      0.800763        0.029065         0.0296449
-2.4    -2.1    21      22      0.789559        0.0248143        0.0259489
-2.1    -1.6    21      22      0.922932        0.0108187        0.0118825
-1.6    -1.2    21      22      0.954618        0.00874759       0.0099276
-1.2    -0.8    21      22      0.781353        0.0183731        0.0193413
-0.8    -0.3    21      22      0.966788        0.00675858       0.00762432
-0.3    -0.2    21      22      0.726892        0.0419752        0.0468366
-0.2    0.2     21      22      0.903076        0.0153388        0.0163634
0.2     0.3     21      22      0.7719  0.0399361        0.0423322
0.3     0.8     21      22      0.9673  0.00703846       0.00811377
0.8     1.2     21      22      0.74179 0.0200753        0.0208652
1.2     1.6     21      22      0.931289        0.0108395        0.0120454
1.6     2.1     21      22      0.938795        0.00985018       0.0100035
2.1     2.4     21      22      0.834831        0.0246483        0.0260062
-2.4    -2.1    22      24      0.81865 0.0140532        0.0146712
-2.1    -1.6    22      24      0.914352        0.00755074       0.00859405
-1.6    -1.2    22      24      0.944322        0.00729307       0.00768321
-1.2    -0.8    22      24      0.817447        0.0127884        0.0131964
-0.8    -0.3    22      24      0.960202        0.0048901        0.00530887
-0.3    -0.2    22      24      0.709257        0.0270747        0.0283816
-0.2    0.2     22      24      0.904245        0.00852821       0.00901028
0.2     0.3     22      24      0.778474        0.0255359        0.0251642
0.3     0.8     22      24      0.965547        0.00450941       0.00493919
0.8     1.2     22      24      0.778299        0.014168         0.0141362
1.2     1.6     22      24      0.933701        0.00817052       0.00842116
1.6     2.1     22      24      0.906869        0.00805909       0.00839906
2.1     2.4     22      24      0.801216        0.0157911        0.0153745
-2.4    -2.1    24      26      0.829739        0.0141204        0.0145925
-2.1    -1.6    24      26      0.931295        0.0061745        0.00647697
-1.6    -1.2    24      26      0.937424        0.00616315       0.00657707
-1.2    -0.8    24      26      0.784024        0.0115445        0.0117472
-0.8    -0.3    24      26      0.969292        0.00447654       0.00475508
-0.3    -0.2    24      26      0.726554        0.0215612        0.0223692
-0.2    0.2     24      26      0.909122        0.00738272       0.00767048
0.2     0.3     24      26      0.741482        0.0208067        0.0215431
0.3     0.8     24      26      0.957487        0.00435937       0.00466718
0.8     1.2     24      26      0.758601        0.0112787        0.0116996
1.2     1.6     24      26      0.931322        0.00664926       0.00710265
1.6     2.1     24      26      0.927955        0.0119965        0.00673352
2.1     2.4     24      26      0.809004        0.0136253        0.0138916
-2.4    -2.1    26      30      0.836245        0.00828335       0.00842672
-2.1    -1.6    26      30      0.945557        0.00388341       0.00399489
-1.6    -1.2    26      30      0.945421        0.00381011       0.00381011
-1.2    -0.8    26      30      0.780421        0.00743754       0.00723174
-0.8    -0.3    26      30      0.96412 0.00264832       0.00273212
