# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      15      0       0        0
-2.1    -1.6    10      15      0       0        0
-1.6    -1.2    10      15      0       0        0
-1.2    -0.8    10      15      0       0        0
-0.8    -0.3    10      15      0       0        0
-0.3    -0.2    10      15      0       0        0
-0.2    0.2     10      15      0       0        0
0.2     0.3     10      15      0       0        0
0.3     0.8     10      15      0       0        0
0.8     1.2     10      15      0       0        0
1.2     1.6     10      15      0       0        0
1.6     2.1     10      15      0       0        0
2.1     2.4     10      15      0       0        0
-2.4    -2.1    15      16      0       0        0
-2.1    -1.6    15      16      0       0        0
-1.6    -1.2    15      16      0       0        0
-1.2    -0.8    15      16      0       0        0
-0.8    -0.3    15      16      0       0        0
-0.3    -0.2    15      16      0       0        0
-0.2    0.2     15      16      0       0        0
0.2     0.3     15      16      0       0        0
0.3     0.8     15      16      0       0        0
0.8     1.2     15      16      0       0        0
1.2     1.6     15      16      0       0        0
1.6     2.1     15      16      0       0        0
2.1     2.4     15      16      0       0        0
-2.4    -2.1    16      17      0       0        0
-2.1    -1.6    16      17      0       0        0
-1.6    -1.2    16      17      0       0        0
-1.2    -0.8    16      17      0       0        0
-0.8    -0.3    16      17      0       0        0
-0.3    -0.2    16      17      0       0        0
-0.2    0.2     16      17      0       0        0
0.2     0.3     16      17      0       0        0
0.3     0.8     16      17      0       0        0
0.8     1.2     16      17      0       0        0
1.2     1.6     16      17      0       0        0
1.6     2.1     16      17      0       0        0
2.1     2.4     16      17      0       0        0
-2.4    -2.1    17      18      0       0        0
-2.1    -1.6    17      18      0       0        0
-1.6    -1.2    17      18      0       0        0
-1.2    -0.8    17      18      0       0        0
-0.8    -0.3    17      18      0       0        0
-0.3    -0.2    17      18      0       0        0
-0.2    0.2     17      18      0       0        0
0.2     0.3     17      18      0       0        0
0.3     0.8     17      18      0       0        0
0.8     1.2     17      18      0       0        0
1.2     1.6     17      18      0       0        0
1.6     2.1     17      18      0       0        0
2.1     2.4     17      18      0       0        0
-2.4    -2.1    18      19      0       0        0
-2.1    -1.6    18      19      0       0        0
-1.6    -1.2    18      19      0       0        0
-1.2    -0.8    18      19      0       0        0
-0.8    -0.3    18      19      0       0        0
-0.3    -0.2    18      19      0       0        0
-0.2    0.2     18      19      0       0        0
0.2     0.3     18      19      0       0        0
0.3     0.8     18      19      0       0        0
0.8     1.2     18      19      0       0        0
1.2     1.6     18      19      0       0        0
1.6     2.1     18      19      0       0        0
2.1     2.4     18      19      0       0        0
-2.4    -2.1    19      20      0.0183215       0.00640215       0.00540086
-2.1    -1.6    19      20      0       0        0
-1.6    -1.2    19      20      0       0        0
-1.2    -0.8    19      20      0       0        0
-0.8    -0.3    19      20      0       0        0
-0.3    -0.2    19      20      0       0        0
-0.2    0.2     19      20      0       0        0
0.2     0.3     19      20      0       0        0
0.3     0.8     19      20      0       0        0
0.8     1.2     19      20      0       0        0
1.2     1.6     19      20      0       0        0
1.6     2.1     19      20      0       0        0
2.1     2.4     19      20      0.0200927       0.00635085       0.00941016
-2.4    -2.1    20      21      0.0158569       0.00654145       0.00555774
-2.1    -1.6    20      21      0.0106329       0.00384474       0.00329813
-1.6    -1.2    20      21      0.015772        0.00399772       0.00344296
-1.2    -0.8    20      21      0       0        0
-0.8    -0.3    20      21      0       0        0
-0.3    -0.2    20      21      0       0        0
-0.2    0.2     20      21      0       0        0
0.2     0.3     20      21      0       0        0
0.3     0.8     20      21      0       0        0
0.8     1.2     20      21      0       0        0
1.2     1.6     20      21      0.0109763       0.00451401       0.00386313
1.6     2.1     20      21      0.0158719       0.00369772       0.00320454
2.1     2.4     20      21      0.0215581       0.006536         0.00574593
-2.4    -2.1    21      22      0.136672        0.0128548        0.0121926
-2.1    -1.6    21      22      0.0888494       0.00819334       0.00791012
-1.6    -1.2    21      22      0.0759513       0.00797684       0.00728677
-1.2    -0.8    21      22      0.0604233       0.00696102       0.00646529
-0.8    -0.3    21      22      0.053402        0.00626322       0.005833
-0.3    -0.2    21      22      0.0442306       0.0149418        0.0131446
-0.2    0.2     21      22      0.053875        0.00735174       0.00678146
0.2     0.3     21      22      0.0160373       0.0109981        0.00822589
0.3     0.8     21      22      0.0494072       0.00592226       0.00553176
0.8     1.2     21      22      0.070078        0.00750831       0.00889335
1.2     1.6     21      22      0.0569269       0.00675882       0.00635707
1.6     2.1     21      22      0.0896799       0.00894204       0.00815488
2.1     2.4     21      22      0.110159        0.0132062        0.0126051
-2.4    -2.1    22      24      0.684866        0.0128674        0.0131305
-2.1    -1.6    22      24      0.761606        0.00773036       0.00773549
-1.6    -1.2    22      24      0.831926        0.00692119       0.0071638
-1.2    -0.8    22      24      0.826026        0.00718985       0.0073259
-0.8    -0.3    22      24      0.899666        0.0053392        0.0054455
-0.3    -0.2    22      24      0.686474        0.018369         0.0184402
-0.2    0.2     22      24      0.855246        0.00744659       0.00754924
0.2     0.3     22      24      0.736204        0.0190843        0.019162
0.3     0.8     22      24      0.896981        0.00567105       0.00579445
0.8     1.2     22      24      0.828585        0.00780968       0.00803463
1.2     1.6     22      24      0.826787        0.00717671       0.00734996
1.6     2.1     22      24      0.788167        0.00788313       0.00811895
2.1     2.4     22      24      0.662848        0.0114369        0.0118299
-2.4    -2.1    24      26      0.752104        0.0101616        0.0102069
-2.1    -1.6    24      26      0.809654        0.00693919       0.00670588
-1.6    -1.2    24      26      0.859676        0.00580471       0.00597869
-1.2    -0.8    24      26      0.872768        0.00611641       0.00619745
-0.8    -0.3    24      26      0.926228        0.0042775        0.00436775
-0.3    -0.2    24      26      0.714283        0.0150813        0.0153072
-0.2    0.2     24      26      0.899734        0.00507683       0.00515506
0.2     0.3     24      26      0.753379        0.0144012        0.0148112
0.3     0.8     24      26      0.923438        0.00450471       0.00467236
0.8     1.2     24      26      0.858311        0.00614281       0.00622686
1.2     1.6     24      26      0.860075        0.00639452       0.00647496
1.6     2.1     24      26      0.822557        0.00656734       0.00665789
2.1     2.4     24      26      0.744541        0.00976448       0.00995204
-2.4    -2.1    26      30      0.799512        0.00637085       0.00644013
-2.1    -1.6    26      30      0.832531        0.0040373        0.00404482
-1.6    -1.2    26      30      0.892554        0.00392957       0.00388005
-1.2    -0.8    26      30      0.893092        0.00346409       0.00354245
-0.8    -0.3    26      30      0.935656        0.00234611       0.0023809
-0.3    -0.2    26      30      0.746651        0.00858596       0.00861494
-0.2    0.2     26      30      0.914006        0.00274864       0.00281578
0.2     0.3     26      30      0.765589        0.00814654       0.00818775
0.3     0.8     26      30      0.933781        0.00232856       0.00234243
0.8     1.2     26      30      0.88813 0.00356802       0.00361597
1.2     1.6     26      30      0.884754        0.00393921       0.00406088
1.6     2.1     26      30      0.843301        0.00421336       0.00418714
2.1     2.4     26      30      0.782077        0.00626593       0.00632007
-2.4    -2.1    30      35      0.836048        0.00469156       0.00477213
-2.1    -1.6    30      35      0.846031        0.00303011       0.00303343
-1.6    -1.2    30      35      0.910551        0.00268386       0.00269711
-1.2    -0.8    30      35      0.903366        0.00248373       0.00250378
-0.8    -0.3    30      35      0.945587        0.00157195       0.00157421
-0.3    -0.2    30      35      0.750488        0.0060811        0.00612293
-0.2    0.2     30      35      0.928944        0.00188835       0.00190015
0.2     0.3     30      35      0.786494        0.00568408       0.00568131
0.3     0.8     30      35      0.944475        0.00154533       0.00154541
0.8     1.2     30      35      0.903225        0.0023909        0.00240609
1.2     1.6     30      35      0.900527        0.00271112       0.00269307
1.6     2.1     30      35      0.854231        0.00306368       0.00307552
2.1     2.4     30      35      0.800819        0.00475553       0.00474575
