# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      15      0       0        0
-2.1    -1.6    10      15      0       0        0
-1.6    -1.2    10      15      0       0        0
-1.2    -0.8    10      15      0       0        0
-0.8    -0.3    10      15      0       0        0
-0.3    -0.2    10      15      0       0        0
-0.2    0.2     10      15      0       0        0
0.2     0.3     10      15      0       0        0
0.3     0.8     10      15      0       0        0
0.8     1.2     10      15      0       0        0
1.2     1.6     10      15      0       0        0
1.6     2.1     10      15      0       0        0
2.1     2.4     10      15      0       0        0
-2.4    -2.1    15      16      0       0        0
-2.1    -1.6    15      16      0       0        0
-1.6    -1.2    15      16      0       0        0
-1.2    -0.8    15      16      0       0        0
-0.8    -0.3    15      16      0       0        0
-0.3    -0.2    15      16      0       0        0
-0.2    0.2     15      16      0       0        0
0.2     0.3     15      16      0       0        0
0.3     0.8     15      16      0       0        0
0.8     1.2     15      16      0       0        0
1.2     1.6     15      16      0       0        0
1.6     2.1     15      16      0       0        0
2.1     2.4     15      16      0       0        0
-2.4    -2.1    16      17      0       0        0
-2.1    -1.6    16      17      0       0        0
-1.6    -1.2    16      17      0       0        0
-1.2    -0.8    16      17      0       0        0
-0.8    -0.3    16      17      0       0        0
-0.3    -0.2    16      17      0       0        0
-0.2    0.2     16      17      0       0        0
0.2     0.3     16      17      0       0        0
0.3     0.8     16      17      0       0        0
0.8     1.2     16      17      0       0        0
1.2     1.6     16      17      0       0        0
1.6     2.1     16      17      0       0        0
2.1     2.4     16      17      0       0        0
-2.4    -2.1    17      18      0.0118019       0.0102701        0.0064979
-2.1    -1.6    17      18      0       0        0
-1.6    -1.2    17      18      0       0        0
-1.2    -0.8    17      18      0       0        0
-0.8    -0.3    17      18      0       0        0
-0.3    -0.2    17      18      0       0        0
-0.2    0.2     17      18      0       0        0
0.2     0.3     17      18      0       0        0
0.3     0.8     17      18      0       0        0
0.8     1.2     17      18      0       0        0
1.2     1.6     17      18      0       0        0
1.6     2.1     17      18      0       0        0
2.1     2.4     17      18      0       0        0
-2.4    -2.1    18      19      0       0        0
-2.1    -1.6    18      19      0       0        0
-1.6    -1.2    18      19      0       0        0
-1.2    -0.8    18      19      0       0        0
-0.8    -0.3    18      19      0       0        0
-0.3    -0.2    18      19      0       0        0
-0.2    0.2     18      19      0       0        0
0.2     0.3     18      19      0       0        0
0.3     0.8     18      19      0       0        0
0.8     1.2     18      19      0       0        0
1.2     1.6     18      19      0       0        0
1.6     2.1     18      19      0       0        0
2.1     2.4     18      19      0.0173118       0.0101075        0.00752055
-2.4    -2.1    19      20      0.0930541       0.0610001        0.0179392
-2.1    -1.6    19      20      0.0675732       0.012431         0.0110502
-1.6    -1.2    19      20      0.0372436       0.0119463        0.0105547
-1.2    -0.8    19      20      0.0341614       0.010661         0.00885707
-0.8    -0.3    19      20      0.0375017       0.0100762        0.00855885
-0.3    -0.2    19      20      0       0        0
-0.2    0.2     19      20      0.0196153       0.0104397        0.00793631
0.2     0.3     19      20      0.0260553       0.0335895        0.0214638
0.3     0.8     19      20      0.0396132       0.0101969        0.0087395
0.8     1.2     19      20      0.0290712       0.0134249        0.0113489
1.2     1.6     19      20      0.0332048       0.0136125        0.0119112
1.6     2.1     19      20      0.0566354       0.0122557        0.0109217
2.1     2.4     19      20      0.0560099       0.0158033        0.0136896
-2.4    -2.1    20      21      0.689287        0.0269843        0.0268882
-2.1    -1.6    20      21      0.742361        0.02096  0.0215084
-1.6    -1.2    20      21      0.809824        0.0210502        0.0216749
-1.2    -0.8    20      21      0.772298        0.0228033        0.0235508
-0.8    -0.3    20      21      0.895409        0.0159245        0.0169359
-0.3    -0.2    20      21      0.642941        0.0470973        0.0513669
-0.2    0.2     20      21      0.757893        0.0250872        0.0265956
0.2     0.3     20      21      0.655978        0.0552988        0.0591923
0.3     0.8     20      21      0.853449        0.0174803        0.0184209
0.8     1.2     20      21      0.781336        0.0197715        0.0208151
1.2     1.6     20      21      0.771566        0.0204843        0.0223148
1.6     2.1     20      21      0.75148 0.0197492        0.0200103
2.1     2.4     20      21      0.696233        0.0296202        0.0300006
-2.4    -2.1    21      22      0.72022 0.0269283        0.0274206
-2.1    -1.6    21      22      0.768462        0.0183849        0.0189593
-1.6    -1.2    21      22      0.857266        0.0181585        0.019165
-1.2    -0.8    21      22      0.838442        0.0178323        0.0185077
-0.8    -0.3    21      22      0.910255        0.0106951        0.011502
-0.3    -0.2    21      22      0.697948        0.041752         0.0490815
-0.2    0.2     21      22      0.822361        0.0191278        0.0201419
0.2     0.3     21      22      0.734924        0.0407053        0.043547
0.3     0.8     21      22      0.900698        0.0122269        0.0132258
0.8     1.2     21      22      0.788335        0.0183554        0.0193754
1.2     1.6     21      22      0.826611        0.0188888        0.0195898
1.6     2.1     21      22      0.826708        0.0158376        0.0162916
2.1     2.4     21      22      0.724338        0.0279568        0.028989
-2.4    -2.1    22      24      0.813283        0.0156329        0.0159378
-2.1    -1.6    22      24      0.820206        0.0114344        0.011714
-1.6    -1.2    22      24      0.868621        0.0110172        0.0114777
-1.2    -0.8    22      24      0.850721        0.0111081        0.0117761
-0.8    -0.3    22      24      0.919791        0.00769627       0.00774881
-0.3    -0.2    22      24      0.692332        0.0273414        0.0284506
-0.2    0.2     22      24      0.843623        0.0110884        0.0114011
0.2     0.3     22      24      0.748574        0.027985         0.0286116
0.3     0.8     22      24      0.926358        0.00796763       0.00829333
0.8     1.2     22      24      0.859491        0.0117611        0.0119023
1.2     1.6     22      24      0.849079        0.0113034        0.0113034
1.6     2.1     22      24      0.799691        0.0115327        0.0117768
2.1     2.4     22      24      0.765212        0.0152913        0.016086
-2.4    -2.1    24      26      0.801815        0.0151484        0.0155886
-2.1    -1.6    24      26      0.825574        0.00968685       0.00972803
-1.6    -1.2    24      26      0.896733        0.00921457       0.00956238
-1.2    -0.8    24      26      0.870779        0.00973967       0.0100541
-0.8    -0.3    24      26      0.938224        0.00662308       0.00687946
-0.3    -0.2    24      26      0.690351        0.0224849        0.0233572
-0.2    0.2     24      26      0.87039 0.00874666       0.00907852
0.2     0.3     24      26      0.732125        0.0210571        0.0217946
0.3     0.8     24      26      0.930306        0.00557831       0.00589116
0.8     1.2     24      26      0.841485        0.00986501       0.0100224
1.2     1.6     24      26      0.870966        0.00962653       0.00969041
1.6     2.1     24      26      0.847   0.00913943       0.0092482
2.1     2.4     24      26      0.792841        0.0131643        0.0136248
-2.4    -2.1    26      30      0.81128 0.00872933       0.00886327
-2.1    -1.6    26      30      0.849303        0.00632206       0.00639771
-1.6    -1.2    26      30      0.898095        0.000170453      0.000170453
-1.2    -0.8    26      30      0.877273        0.00616072       0.00636091
-0.8    -0.3    26      30      0.939516        0.00353157       0.00360548
-0.3    -0.2    26      30      0.70509 0.0138825        0.0139182
-0.2    0.2     26      30      0.885823        0.00447282       0.00445934
0.2     0.3     26      30      0.783671        0.0125534        0.0126794
0.3     0.8     26      30      0.939436        0.00359916       0.00368444
0.8     1.2     26      30      0.874588        0.0058234        0.00587661
1.2     1.6     26      30      0.884467        0.00558477       0.00565459
1.6     2.1     26      30      0.851954        0.00609928       0.00626052
2.1     2.4     26      30      0.806945        0.00944255       0.00948039
-2.4    -2.1    30      35      0.845241        0.00677378       0.00682023
-2.1    -1.6    30      35      0.845296        0.00486882       0.00487245
-1.6    -1.2    30      35      0.906568        0.00415844       0.0042015
-1.2    -0.8    30      35      0.878198        0.00412386       0.004169
-0.8    -0.3    30      35      0.951063        0.00230719       0.0023022
-0.3    -0.2    30      35      0.714877        0.00989327       0.0099208
