# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
  -2.40  -2.10  10.00  13.00         0.8909  0.0115  0.0103  
  -2.10  -1.60  10.00  13.00         0.9165  0.0085  0.0071  
  -1.60  -1.20  10.00  13.00         0.9317  0.0073  0.0076  
  -1.20  -0.80  10.00  13.00         0.9291  0.0085  0.0092  
  -0.80  -0.30  10.00  13.00         0.9455  0.0084  0.0092  
  -0.30  -0.20  10.00  13.00         0.7734  0.0437  0.0472  
  -0.20  0.20  10.00  13.00         0.9334  0.0120  0.0135  
  0.20  0.30  10.00  13.00         0.8014  0.0486  0.0498  
  0.30  0.80  10.00  13.00         0.9448  0.0083  0.0089  
  0.80  1.20  10.00  13.00         0.9221  0.0080  0.0086  
  1.20  1.60  10.00  13.00         0.9291  0.0074  0.0078  
  1.60  2.10  10.00  13.00         0.9232  0.0070  0.0073  
  2.10  2.40  10.00  13.00         0.8977  0.0117  0.0117  
  -2.40  -2.10  13.00  16.00         0.9036  0.0086  0.0096  
  -2.10  -1.60  13.00  16.00         0.9213  0.0055  0.0057  
  -1.60  -1.20  13.00  16.00         0.9457  0.0054  0.0053  
  -1.20  -0.80  13.00  16.00         0.9328  0.0058  0.0061  
  -0.80  -0.30  13.00  16.00         0.9440  0.0054  0.0057  
  -0.30  -0.20  13.00  16.00         0.8006  0.0273  0.0292  
  -0.20  0.20  13.00  16.00         0.9269  0.0086  0.0090  
  0.20  0.30  13.00  16.00         0.8236  0.0257  0.0284  
  0.30  0.80  13.00  16.00         0.9435  0.0053  0.0056  
  0.80  1.20  13.00  16.00         0.9305  0.0061  0.0065  
  1.20  1.60  13.00  16.00         0.9366  0.0058  0.0060  
  1.60  2.10  13.00  16.00         0.9302  0.0054  0.0054  
  2.10  2.40  13.00  16.00         0.9137  0.0081  0.0083  
  -2.40  -2.10  16.00  20.00         0.9122  0.0042  0.0043  
  -2.10  -1.60  16.00  20.00         0.9261  0.0042  0.0037  
  -1.60  -1.20  16.00  20.00         0.9467  0.0033  0.0034  
  -1.20  -0.80  16.00  20.00         0.9361  0.0039  0.0039  
  -0.80  -0.30  16.00  20.00         0.9467  0.0031  0.0032  
  -0.30  -0.20  16.00  20.00         0.8019  0.0149  0.0155  
  -0.20  0.20  16.00  20.00         0.9304  0.0048  0.0050  
  0.20  0.30  16.00  20.00         0.8249  0.0145  0.0149  
  0.30  0.80  16.00  20.00         0.9478  0.0033  0.0034  
  0.80  1.20  16.00  20.00         0.9314  0.0038  0.0039  
  1.20  1.60  16.00  20.00         0.9430  0.0034  0.0035  
  1.60  2.10  16.00  20.00         0.9290  0.0043  0.0042  
  2.10  2.40  16.00  20.00         0.9106  0.0058  0.0063  
  -2.40  -2.10  20.00  25.00         0.9183  0.0034  0.0034  
  -2.10  -1.60  20.00  25.00         0.9256  0.0024  0.0024  
  -1.60  -1.20  20.00  25.00         0.9506  0.0017  0.0017  
  -1.20  -0.80  20.00  25.00         0.9405  0.0023  0.0023  
  -0.80  -0.30  20.00  25.00         0.9503  0.0018  0.0019  
  -0.30  -0.20  20.00  25.00         0.8090  0.0082  0.0083  
  -0.20  0.20  20.00  25.00         0.9318  0.0024  0.0025  
  0.20  0.30  20.00  25.00         0.8410  0.0078  0.0084  
  0.30  0.80  20.00  25.00         0.9514  0.0019  0.0019  
  0.80  1.20  20.00  25.00         0.9359  0.0023  0.0024  
  1.20  1.60  20.00  25.00         0.9453  0.0023  0.0024  
  1.60  2.10  20.00  25.00         0.9323  0.0023  0.0024  
  2.10  2.40  20.00  25.00         0.9183  0.0036  0.0043  
  -2.40  -2.10  25.00  30.00         0.9273  0.0028  0.0028  
  -2.10  -1.60  25.00  30.00         0.9256  0.0021  0.0019  
  -1.60  -1.20  25.00  30.00         0.9515  0.0016  0.0016  
  -1.20  -0.80  25.00  30.00         0.9413  0.0017  0.0017  
