#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      15      0       0        0
-2.1    -1.6    10      15      0       0        0
-1.6    -1.2    10      15      0       0        0
-1.2    -0.8    10      15      0       0        0
-0.8    -0.3    10      15      0       0        0
-0.3    -0.2    10      15      0       0        0
-0.2    0.2     10      15      0       0        0
0.2     0.3     10      15      0       0        0
0.3     0.8     10      15      0       0        0
0.8     1.2     10      15      0       0        0
1.2     1.6     10      15      0       0        0
1.6     2.1     10      15      0       0        0
2.1     2.4     10      15      0       0        0
-2.4    -2.1    15      16      0.0381164       0.00837627       0.00732821
-2.1    -1.6    15      16      0.0189917       0.00521259       0.00472677
-1.6    -1.2    15      16      0       0        0
-1.2    -0.8    15      16      0       0        0
-0.8    -0.3    15      16      0       0        0
-0.3    -0.2    15      16      0       0        0
-0.2    0.2     15      16      0       0        0
0.2     0.3     15      16      0       0        0
0.3     0.8     15      16      0       0        0
0.8     1.2     15      16      0       0        0
1.2     1.6     15      16      0       0        0
1.6     2.1     15      16      0.0127599       0.00386798       0.00327934
2.1     2.4     15      16      0.0223474       0.00644693       0.00542247
-2.4    -2.1    16      17      0.0787634       0.0106976        0.00979172
-2.1    -1.6    16      17      0.0816234       0.00743752       0.0070493
-1.6    -1.2    16      17      0.0546399       0.00821682       0.00765939
-1.2    -0.8    16      17      0.0427194       0.0070018        0.00647021
-0.8    -0.3    16      17      0.0396625       0.00496925       0.00643848
-0.3    -0.2    16      17      0       0        0
-0.2    0.2     16      17      0.0383531       0.00856434       0.00740601
0.2     0.3     16      17      0.0378457       0.0190752        0.0143708
0.3     0.8     16      17      0.0469476       0.00706855       0.00647415
0.8     1.2     16      17      0.0332918       0.00724761       0.00652008
1.2     1.6     16      17      0.0391502       0.00722674       0.00656581
1.6     2.1     16      17      0.0662005       0.00708557       0.00666148
2.1     2.4     16      17      0.0855853       0.0133549        0.0125644
-2.4    -2.1    17      18      0.640595        0.0187425        0.0190394
-2.1    -1.6    17      18      0.758158        0.0115396        0.0117904
-1.6    -1.2    17      18      0.832925        0.0117288        0.0118816
-1.2    -0.8    17      18      0.874079        0.0103908        0.0107879
-0.8    -0.3    17      18      0.877622        0.00918467       0.00962358
-0.3    -0.2    17      18      0.77021 0.0294637        0.0313544
-0.2    0.2     17      18      0.861791        0.0134032        0.0135421
0.2     0.3     17      18      0.797676        0.0289312        0.0308032
0.3     0.8     17      18      0.88295 0.00878404       0.00920341
0.8     1.2     17      18      0.866159        0.0100054        0.0106021
1.2     1.6     17      18      0.855891        0.0107804        0.0111255
1.6     2.1     17      18      0.769554        0.0118824        0.0119833
2.1     2.4     17      18      0.632948        0.0216716        0.020461
-2.4    -2.1    18      19      0.766287        0.0145176        0.0144451
-2.1    -1.6    18      19      0.871101        0.00844285       0.00863159
-1.6    -1.2    18      19      0.926682        0.00665216       0.00709955
-1.2    -0.8    18      19      0.939555        0.00623601       0.00665343
-0.8    -0.3    18      19      0.936667        0.006136         0.00650413
-0.3    -0.2    18      19      0.817067        0.0238263        0.0258461
-0.2    0.2     18      19      0.913349        0.00888998       0.00953482
0.2     0.3     18      19      0.811478        0.0242812        0.0257687
0.3     0.8     18      19      0.944003        0.00572858       0.00619138
0.8     1.2     18      19      0.926008        0.00727636       0.0076705
1.2     1.6     18      19      0.918972        0.00706218       0.00746339
1.6     2.1     18      19      0.873295        0.00908081       0.0095057
2.1     2.4     18      19      0.79121 0.0196841        0.0143868
-2.4    -2.1    19      20      0.766378        0.0140553        0.0146153
-2.1    -1.6    19      20      0.891188        0.00741308       0.00747539
-1.6    -1.2    19      20      0.927007        0.00663143       0.00676418
-1.2    -0.8    19      20      0.926796        0.00637703       0.00679186
-0.8    -0.3    19      20      0.934609        0.00547015       0.00572423
-0.3    -0.2    19      20      0.774301        0.0314174        0.0265509
-0.2    0.2     19      20      0.934023        0.00701395       0.00759149
0.2     0.3     19      20      0.858672        0.0191707        0.0209713
0.3     0.8     19      20      0.945365        0.0060638        0.00647032
0.8     1.2     19      20      0.930939        0.00703193       0.00734899
1.2     1.6     19      20      0.943208        0.00540416       0.00576534
1.6     2.1     19      20      0.889046        0.00777858       0.00805445
2.1     2.4     19      20      0.774883        0.0163363        0.0146995
-2.4    -2.1    20      25      0.813212        0.00472956       0.00475494
-2.1    -1.6    20      25      0.897745        0.0026569        0.00268983
-1.6    -1.2    20      25      0.952422        0.00210809       0.00212521
-1.2    -0.8    20      25      0.942645        0.00212433       0.00215503
-0.8    -0.3    20      25      0.943496        0.00180353       0.0018238
-0.3    -0.2    20      25      0.809366        0.00822167       0.00831543
-0.2    0.2     20      25      0.925895        0.00242105       0.00243896
0.2     0.3     20      25      0.839289        0.00702543       0.00711596
0.3     0.8     20      25      0.94568 0.00188444       0.00186719
0.8     1.2     20      25      0.93692 0.00228093       0.00228303
1.2     1.6     20      25      0.944522        0.00217065       0.00216467
1.6     2.1     20      25      0.909782        0.00265463       0.00270432
2.1     2.4     20      25      0.813817        0.00525033       0.00551904
-2.4    -2.1    25      30      0.845209        0.0038031        0.00359461
-2.1    -1.6    25      30      0.905802        0.00221822       0.00201635
-1.6    -1.2    25      30      0.951902        0.00152384       0.00153733
-1.2    -0.8    25      30      0.945436        0.0015938        0.00157635
-0.8    -0.3    25      30      0.944005        0.00133809       0.00134103
-0.3    -0.2    25      30      0.809838        0.00521737       0.00517943
-0.2    0.2     25      30      0.933029        0.00151364       0.00151115
0.2     0.3     25      30      0.845173        0.00479785       0.00485637
0.3     0.8     25      30      0.948062        0.00128747       0.00127569
0.8     1.2     25      30      0.941857        0.00168927       0.00168996
1.2     1.6     25      30      0.947273        0.001604         0.00159969
1.6     2.1     25      30      0.915741        0.00203932       0.00200013
2.1     2.4     25      30      0.853997        0.00372652       0.00379626
-2.4    -2.1    30      40      0.874758        0.0017968        0.00180066
-2.1    -1.6    30      40      0.913255        0.00107195       0.00105679
-1.6    -1.2    30      40      0.94916 0.000848661      0.000839981
-1.2    -0.8    30      40      0.945511        0.000784809      0.000786091
-0.8    -0.3    30      40      0.940263        0.000659728      0.0006599
-0.3    -0.2    30      40      0.80508 0.00257264       0.00256813
-0.2    0.2     30      40      0.930141        0.000775787      0.000779398
0.2     0.3     30      40      0.837219        0.00237237       0.00235602
0.3     0.8     30      40      0.947114        0.00062651       0.000630192
0.8     1.2     30      40      0.940918        0.000827527      0.000826963
1.2     1.6     30      40      0.945531        0.000864989      0.000866397
1.6     2.1     30      40      0.919353        0.00104079       0.00101679
2.1     2.4     30      40      0.871546        0.00184798       0.00181901
-2.4    -2.1    40      60      0.894824        0.00149169       0.00149398
-2.1    -1.6    40      60      0.915463        0.000825835      0.000827644
-1.6    -1.2    40      60      0.94113 0.000651421      0.000651001
-1.2    -0.8    40      60      0.943647        0.000629944      0.000618896
-0.8    -0.3    40      60      0.943141        0.000533134      0.000533529
-0.3    -0.2    40      60      0.804843        0.00214721       0.00213977
-0.2    0.2     40      60      0.930477        0.000666699      0.000668858
0.2     0.3     40      60      0.837265        0.00204086       0.00204064
0.3     0.8     40      60      0.94629 0.000518364      0.000519654
0.8     1.2     40      60      0.940959        0.000619109      0.000620437
1.2     1.6     40      60      0.94203 0.000668611      0.000659756
1.6     2.1     40      60      0.92188 0.000789602      0.000785887
2.1     2.4     40      60      0.888906        0.00151159       0.00151605
-2.4    -2.1    60      100     0.907545        0.00480718       0.00490033
-2.1    -1.6    60      100     0.916006        0.00256626       0.00258616
-1.6    -1.2    60      100     0.905845        0.00260435       0.00263901
-1.2    -0.8    60      100     0.942091        0.00188697       0.00191568
