#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      13      0.904531        0.0129453        0.00686903
-2.1    -1.6    10      13      0.920001        0.0129453        0.00686903
-1.6    -1.2    10      13      0.94914 0.00715745       0.0074931
-1.2    -0.8    10      13      0.944909        0.0069093        0.00767682
-0.8    -0.3    10      13      0.949668        0.00789141       0.00900737
-0.3    -0.2    10      13      0.819386        0.0428544        0.0453772
-0.2    0.2     10      13      0.958649        0.00974089       0.0114774
0.2     0.3     10      13      0.791176        0.0584468        0.0485514
0.3     0.8     10      13      0.948318        0.00739809       0.00814835
0.8     1.2     10      13      0.924898        0.00766216       0.00819658
1.2     1.6     10      13      0.950195        0.00588385       0.00631603
1.6     2.1     10      13      0.930468        0.00697802       0.00750825
2.1     2.4     10      13      0.896455        0.0106544        0.0114761
-2.4    -2.1    13      16      0.906841        0.0081763        0.00839428
-2.1    -1.6    13      16      0.937344        0.00529803       0.0055325
-1.6    -1.2    13      16      0.961467        0.00420272       0.00440479
-1.2    -0.8    13      16      0.931504        0.0058251        0.00616355
-0.8    -0.3    13      16      0.943989        0.00542497       0.00578583
-0.3    -0.2    13      16      0.817511        0.0240552        0.0259945
-0.2    0.2     13      16      0.935929        0.00821911       0.0087274
0.2     0.3     13      16      0.852579        0.0232416        0.0245141
0.3     0.8     13      16      0.955019        0.00498045       0.0052834
0.8     1.2     13      16      0.931772        0.00576461       0.00609693
1.2     1.6     13      16      0.944581        0.0056156        0.00587182
1.6     2.1     13      16      0.933012        0.00554801       0.00508766
2.1     2.4     13      16      0.923167        0.00746309       0.00757412
-2.4    -2.1    16      20      0.918048        8.45728e-05      8.45728e-05
-2.1    -1.6    16      20      0.929497        0.00372377       0.00386419
-1.6    -1.2    16      20      0.958663        0.00318187       0.00305693
-1.2    -0.8    16      20      0.93497 0.00424432       0.00421588
-0.8    -0.3    16      20      0.955503        0.0029505        0.00299475
-0.3    -0.2    16      20      0.822822        0.0140949        0.0147722
-0.2    0.2     16      20      0.928447        0.00488312       0.00498393
0.2     0.3     16      20      0.830907        0.0150154        0.0153204
0.3     0.8     16      20      0.944653        0.00326714       0.00334914
0.8     1.2     16      20      0.936408        0.00367268       0.00378543
1.2     1.6     16      20      0.951165        0.00357897       0.00369919
1.6     2.1     16      20      0.930691        0.00565624       0.00583092
2.1     2.4     16      20      0.905978        0.00565624       0.00583092
-2.4    -2.1    20      25      0.924483        0.00328441       0.00335772
-2.1    -1.6    20      25      0.932704        0.00232015       0.00228135
-1.6    -1.2    20      25      0.956424        9.86561e-05      9.86561e-05
-1.2    -0.8    20      25      0.938973        0.00241972       0.00242358
-0.8    -0.3    20      25      0.955722        0.00172546       0.00175792
-0.3    -0.2    20      25      0.812527        0.00802248       0.00818089
-0.2    0.2     20      25      0.934752        0.00233508       0.00237902
0.2     0.3     20      25      0.851634        0.00756141       0.00763623
0.3     0.8     20      25      0.955164        0.0019228        0.00192795
0.8     1.2     20      25      0.936083        0.00236172       0.00238645
1.2     1.6     20      25      0.951498        0.0022544        0.00225729
1.6     2.1     20      25      0.93744 0.00230281       0.0023141
2.1     2.4     20      25      0.918829        0.00372657       0.00633134
-2.4    -2.1    25      30      0.932348        0.00271034       0.00273657
-2.1    -1.6    25      30      0.930248        0.00182991       0.00181522
-1.6    -1.2    25      30      0.957193        0.00165611       0.00164949
-1.2    -0.8    25      30      0.939357        0.00189538       0.00186378
-0.8    -0.3    25      30      0.955525        0.0013236        0.00130937
-0.3    -0.2    25      30      0.831093        0.00509369       0.00511279
-0.2    0.2     25      30      0.938041        0.00156299       0.00156114
0.2     0.3     25      30      0.85326 0.00490767       0.00496891
0.3     0.8     25      30      0.954157        0.00132256       0.00130717
0.8     1.2     25      30      0.935048        0.00186745       0.00188526
1.2     1.6     25      30      0.950564        0.00163505       0.00165553
1.6     2.1     25      30      0.935818        0.00168688       0.00171016
2.1     2.4     25      30      0.921527        0.00283055       0.00288849
-2.4    -2.1    30      40      0.933311        0.0014316        0.00143165
-2.1    -1.6    30      40      0.933085        0.00098865       0.00098491
-1.6    -1.2    30      40      0.954797        0.000848669      0.000835421
-1.2    -0.8    30      40      0.937333        0.000883258      0.000883439
-0.8    -0.3    30      40      0.953947        0.000628374      0.000630866
-0.3    -0.2    30      40      0.821151        0.0026731        0.00269653
-0.2    0.2     30      40      0.935924        0.000805027      0.000806294
0.2     0.3     30      40      0.852615        0.00248209       0.00252829
0.3     0.8     30      40      0.953999        0.000607224      0.000611139
0.8     1.2     30      40      0.93495 0.000919687      0.000923974
1.2     1.6     30      40      0.950621        0.000878243      0.000880308
1.6     2.1     30      40      0.936333        0.000986117      0.000981611
2.1     2.4     30      40      0.930924        0.00153527       0.00152773
-2.4    -2.1    40      60      0.936538        0.00122427       0.00122334
-2.1    -1.6    40      60      0.932246        0.000789371      0.000790045
-1.6    -1.2    40      60      0.945821        0.000696325      0.000697338
-1.2    -0.8    40      60      0.937465        0.000698542      0.000697643
-0.8    -0.3    40      60      0.954555        0.000523399      0.000525586
-0.3    -0.2    40      60      0.819455        0.00232167       0.00230235
-0.2    0.2     40      60      0.938584        0.000677149      0.000677553
0.2     0.3     40      60      0.849031        0.00216281       0.00215891
0.3     0.8     40      60      0.954964        0.000530637      0.000521985
0.8     1.2     40      60      0.934007        0.000718935      0.000714777
1.2     1.6     40      60      0.945089        0.00189953       0.00189953
1.6     2.1     40      60      0.93612 0.000768123      0.000763539
2.1     2.4     40      60      0.931489        0.00129103       0.00129749
-2.4    -2.1    60      100     0.933798        0.00398321       0.0040587
-2.1    -1.6    60      100     0.933528        0.00253277       0.00257053
-1.6    -1.2    60      100     0.903883        0.00283196       0.00285722
-1.2    -0.8    60      100     0.938394        0.00224705       0.00224336
-0.8    -0.3    60      100     0.95316 0.00161446       0.00162309
-0.3    -0.2    60      100     0.816723        0.00729764       0.00736578
-0.2    0.2     60      100     0.935078        0.00223193       0.00224543
0.2     0.3     60      100     0.825476        0.00655887       0.00671344
0.3     0.8     60      100     0.951849        0.00170602       0.00172442
0.8     1.2     60      100     0.9334  0.00221254       0.00223368
1.2     1.6     60      100     0.924729        0.00259627       0.00262746
1.6     2.1     60      100     0.934232        0.00235548       0.00238445
2.1     2.4     60      100     0.935765        0.00418594       0.00423972
-2.4    -2.1    100     200     0.932747        0.0176285        0.0185862
-2.1    -1.6    100     200     0.901896        0.00959916       0.0100143
-1.6    -1.2    100     200     0.823989        0.00999486       0.0103374
-1.2    -0.8    100     200     0.931466        0.00616542       0.00649948
-0.8    -0.3    100     200     0.949831        0.00535557       0.00567739
-0.3    -0.2    100     200     0.832556        0.0186682        0.0199502
-0.2    0.2     100     200     0.926319        0.00850121       0.00633643
0.2     0.3     100     200     0.875929        0.0165196        0.0175747
0.3     0.8     100     200     0.952343        0.00491917       0.00518781
0.8     1.2     100     200     0.938593        0.00670452       0.00710317
1.2     1.6     100     200     0.838992        0.0101106        0.0102907
1.6     2.1     100     200     0.890917        0.0104444        0.00995585
2.1     2.4     100     200     0.889752        0.015973         0.0167957
