#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      20      0       0        0
-2.1    -1.6    10      20      0       0        0
-1.6    -1.2    10      20      0       0        0
-1.2    -0.8    10      20      0       0        0
-0.8    -0.3    10      20      0       0        0
-0.3    -0.2    10      20      0       0        0
-0.2    0.2     10      20      0       0        0
0.2     0.3     10      20      0       0        0
0.3     0.8     10      20      0       0        0
0.8     1.2     10      20      0       0        0
1.2     1.6     10      20      0       0        0
1.6     2.1     10      20      0       0        0
2.1     2.4     10      20      0       0        0
-2.4    -2.1    20      21      0.0141898       0.00412023       0.00352025
-2.1    -1.6    20      21      0       0        0
-1.6    -1.2    20      21      0       0        0
-1.2    -0.8    20      21      0       0        0
-0.8    -0.3    20      21      0       0        0
-0.3    -0.2    20      21      0       0        0
-0.2    0.2     20      21      0       0        0
0.2     0.3     20      21      0       0        0
0.3     0.8     20      21      0       0        0
0.8     1.2     20      21      0       0        0
1.2     1.6     20      21      0       0        0
1.6     2.1     20      21      0       0        0
2.1     2.4     20      21      0.0151181       0.00378969       0.00378969
-2.4    -2.1    21      22      0.0317438       0.0057755        0.00538089
-2.1    -1.6    21      22      0.0226694       0.00318837       0.00291934
-1.6    -1.2    21      22      0.0160022       0.00365616       0.0033445
-1.2    -0.8    21      22      0.0110668       0.00254865       0.0024081
-0.8    -0.3    21      22      0       0        0
-0.3    -0.2    21      22      0       0        0
-0.2    0.2     21      22      0       0        0
0.2     0.3     21      22      0       0        0
0.3     0.8     21      22      0       0        0
0.8     1.2     21      22      0       0        0
1.2     1.6     21      22      0.0137531       0.00274189       0.0024243
1.6     2.1     21      22      0.0185966       0.00296278       0.00264748
2.1     2.4     21      22      0.0271226       0.00515246       0.00470326
-2.4    -2.1    22      23      0.0997584       0.00881153       0.00839299
-2.1    -1.6    22      23      0.0784937       0.00572841       0.00605982
-1.6    -1.2    22      23      0.0618951       0.00611502       0.00587977
-1.2    -0.8    22      23      0.0457421       0.00522458       0.00483467
-0.8    -0.3    22      23      0.0498437       0.00413314       0.0498437
-0.3    -0.2    22      23      0.0419587       0.00984356       0.0090769
-0.2    0.2     22      23      0.0426423       0.00436929       0.00410338
0.2     0.3     22      23      0.054846        0.0108887        0.00963388
0.3     0.8     22      23      0.0612425       0.00459677       0.00439458
0.8     1.2     22      23      0.0523577       0.00501389       0.00475359
1.2     1.6     22      23      0.0539614       0.00562064       0.00548229
