#etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.885012	0.0049333	 0.00502282
-2.1	-1.6	10	13	0.911828	0.00330129	 0.00336361
-1.6	-1.2	10	13	0.939674	0.0028838	 0.00293729
-1.2	-0.8	10	13	0.912306	0.00426874	 0.00453541
-0.8	-0.3	10	13	0.912401	0.00480914	 0.0048965
-0.3	-0.2	10	13	0.755777	0.0182563	 0.0192261
-0.2	0.2	10	13	0.893717	0.00733185	 0.00756968
0.2	0.3	10	13	0.766855	0.0191691	 0.0193036
0.3	0.8	10	13	0.91034	0.00494513	 0.00484728
0.8	1.2	10	13	0.903114	0.00438081	 0.00446274
1.2	1.6	10	13	0.931791	0.00367009	 0.00367548
1.6	2.1	10	13	0.918294	0.00323412	 0.00328927
2.1	2.4	10	13	0.892886	0.00503445	 0.00515277
-2.4	-2.1	13	16	0.892905	0.00404935	 0.00411311
-2.1	-1.6	13	16	0.916657	0.002598	 0.0026446
-1.6	-1.2	13	16	0.947496	0.00242496	 0.00258379
-1.2	-0.8	13	16	0.916813	0.00375578	 0.00286626
-0.8	-0.3	13	16	0.912345	0.00292391	 0.00300846
-0.3	-0.2	13	16	0.775314	0.0126742	 0.0125595
-0.2	0.2	13	16	0.88638	0.00494987	 0.0046128
0.2	0.3	13	16	0.790359	0.0123073	 0.0237131
0.3	0.8	13	16	0.911766	0.0028569	 0.00288633
0.8	1.2	13	16	0.919114	0.0030971	 0.00318893
1.2	1.6	13	16	0.938197	0.00262299	 0.00273679
1.6	2.1	13	16	0.920238	0.00254585	 0.00258535
2.1	2.4	13	16	0.906066	0.00378038	 0.00385357
-2.4	-2.1	16	20	0.902786	0.00271772	 0.00260039
-2.1	-1.6	16	20	0.920301	0.00182168	 0.00172126
-1.6	-1.2	16	20	0.948816	0.00164552	 0.00156403
-1.2	-0.8	16	20	0.927154	0.00186314	 0.00185792
-0.8	-0.3	16	20	0.931604	0.00158098	 0.00158337
-0.3	-0.2	16	20	0.781782	0.00635664	 0.00637655
-0.2	0.2	16	20	0.908166	0.00230957	 0.00235877
0.2	0.3	16	20	0.810488	0.00613827	 0.00610574
0.3	0.8	16	20	0.931204	0.00164132	 0.0016298
0.8	1.2	16	20	0.922083	0.0019656	 0.00191176
1.2	1.6	16	20	0.945391	0.00166562	 0.00162028
1.6	2.1	16	20	0.921117	0.00177125	 0.00172094
2.1	2.4	16	20	0.901199	0.00271957	 0.00285838
-2.4	-2.1	20	25	0.907194	0.00167118	 0.0016683
-2.1	-1.6	20	25	0.921443	0.00112127	 0.00110634
-1.6	-1.2	20	25	0.952551	0.000965897	 0.000958011
-1.2	-0.8	20	25	0.930483	0.00114045	 0.00113699
-0.8	-0.3	20	25	0.939272	0.000904564	 0.00090405
-0.3	-0.2	20	25	0.790697	0.00356629	 0.00359245
-0.2	0.2	20	25	0.916721	0.00111306	 0.00111759
0.2	0.3	20	25	0.827085	0.00333554	 0.00330635
0.3	0.8	20	25	0.943094	0.000883328	 0.000869422
0.8	1.2	20	25	0.928524	0.00116546	 0.0011527
1.2	1.6	20	25	0.949611	0.000996229	 0.000989164
1.6	2.1	20	25	0.928029	0.00109474	 0.00108091
2.1	2.4	20	25	0.908127	0.00181729	 0.00179138
-2.4	-2.1	25	30	0.915869	0.00127475	 0.00126692
-2.1	-1.6	25	30	0.921705	0.000859327	 0.000861399
-1.6	-1.2	25	30	0.953002	0.000711079	 0.000701954
-1.2	-0.8	25	30	0.931846	0.000838402	 0.000828608
-0.8	-0.3	25	30	0.940554	0.000627023	 0.000628799
-0.3	-0.2	25	30	0.797749	0.00232304	 0.00231151
-0.2	0.2	25	30	0.920936	0.00072417	 0.000726002
0.2	0.3	25	30	0.838066	0.00216697	 0.0021569
0.3	0.8	25	30	0.94363	0.000602779	 0.000606166
0.8	1.2	25	30	0.929138	0.000833345	 0.000834991
1.2	1.6	25	30	0.949794	0.000728182	 0.000729849
1.6	2.1	25	30	0.927971	0.000814994	 0.000814417
2.1	2.4	25	30	0.91401	0.00128315	 0.00126779
-2.4	-2.1	30	40	0.919959	0.0006554	 0.000663562
-2.1	-1.6	30	40	0.922563	0.000443944	 0.000442507
-1.6	-1.2	30	40	0.94978	0.000368805	 0.000369407
-1.2	-0.8	30	40	0.930286	0.000391935	 0.000391559
-0.8	-0.3	30	40	0.937741	0.000299945	 0.000299082
-0.3	-0.2	30	40	0.79884	0.00114686	 0.00114875
-0.2	0.2	30	40	0.918246	0.000368766	 0.000369462
0.2	0.3	30	40	0.836516	0.00106319	 0.00106463
0.3	0.8	30	40	0.943476	0.000287081	 0.000285905
0.8	1.2	30	40	0.928134	0.000400187	 0.000394107
1.2	1.6	30	40	0.947798	0.000377189	 0.000377892
1.6	2.1	30	40	0.926663	0.000431881	 0.000431873
2.1	2.4	30	40	0.919033	0.000676916	 0.000677849
-2.4	-2.1	40	60	0.921599	0.000570156	 0.000569679
-2.1	-1.6	40	60	0.922431	0.00034576	 0.000345282
-1.6	-1.2	40	60	0.941476	0.000292795	 0.000292938
-1.2	-0.8	40	60	0.930415	0.00029693	 0.000285396
-0.8	-0.3	40	60	0.939625	0.000239607	 0.000241284
-0.3	-0.2	40	60	0.798914	0.000960287	 0.000956686
-0.2	0.2	40	60	0.920814	0.000304869	 0.00030621
0.2	0.3	40	60	0.838048	0.000891052	 0.00088371
0.3	0.8	40	60	0.944105	0.00023163	 0.000231186
0.8	1.2	40	60	0.928558	0.000300312	 0.000300899
1.2	1.6	40	60	0.943816	0.000294035	 0.000294839
1.6	2.1	40	60	0.926828	0.000333308	 0.000333408
2.1	2.4	40	60	0.920121	0.000575025	 0.000572483
