# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      13      0.892132        0.0201027        0.0235657
-2.1    -1.6    10      13      0.945233        0.0118761        0.0154681
-1.6    -1.2    10      13      0.947882        0.0124842        0.0147821
-1.2    -0.8    10      13      0.802131        0.0287796        0.030517
-0.8    -0.3    10      13      0.976749        0.012403         0.0160378
-0.3    -0.2    10      13      0.90421 0.0800247        0.0944925
-0.2    0.2     10      13      0.879356        0.0343268        0.0401715
0.2     0.3     10      13      0.866385        0.0738145        0.113696
0.3     0.8     10      13      0.930472        0.0181628        0.0219677
0.8     1.2     10      13      0.815132        0.0289447        0.0307382
1.2     1.6     10      13      0.925535        0.0146284        0.0166451
1.6     2.1     10      13      0.960095        0.0101726        0.011867
2.1     2.4     10      13      0.909116        0.019156         0.0219833
-2.4    -2.1    13      16      0.937793        0.011992         0.0138403
-2.1    -1.6    13      16      0.956441        0.00941441       0.0097716
-1.6    -1.2    13      16      0.948988        0.00993399       0.0110467
-1.2    -0.8    13      16      0.818003        0.0197945        0.0202647
-0.8    -0.3    13      16      0.953243        0.0118352        0.0137788
-0.3    -0.2    13      16      0.823576        0.0671577        0.0724708
-0.2    0.2     13      16      0.930505        0.0146966        0.0169146
0.2     0.3     13      16      0.835591        0.0439328        0.0514792
0.3     0.8     13      16      0.946321        0.0113571        0.01268
0.8     1.2     13      16      0.802083        0.0226128        0.0222354
1.2     1.6     13      16      0.950681        0.0106577        0.012062
1.6     2.1     13      16      0.931837        0.010304         0.0114723
2.1     2.4     13      16      0.928889        0.0128567        0.0145969
-2.4    -2.1    16      20      0.934173        0.0091346        0.00995019
-2.1    -1.6    16      20      0.950614        0.00654254       0.00706823
-1.6    -1.2    16      20      0.942012        0.00732344       0.00779174
-1.2    -0.8    16      20      0.787355        0.0184935        0.0137224
-0.8    -0.3    16      20      0.967501        0.00568803       0.00622195
-0.3    -0.2    16      20      0.811544        0.0342107        0.0363973
-0.2    0.2     16      20      0.913797        0.010665         0.0113935
0.2     0.3     16      20      0.848669        0.0288957        0.0310672
0.3     0.8     16      20      0.962534        0.00547429       0.00597096
0.8     1.2     16      20      0.770948        0.0139218        0.01417
1.2     1.6     16      20      0.933152        0.00739033       0.00796377
1.6     2.1     16      20      0.944895        0.00624173       0.00667477
2.1     2.4     16      20      0.919841        0.00997796       0.0111665
-2.4    -2.1    20      25      0.958368        0.0049739        0.005272
-2.1    -1.6    20      25      0.949317        0.00391556       0.00412724
-1.6    -1.2    20      25      0.948215        0.00465099       0.00480456
-1.2    -0.8    20      25      0.797414        0.00901289       0.00930343
-0.8    -0.3    20      25      0.968414        0.00292776       0.00311173
-0.3    -0.2    20      25      0.811472        0.0175818        0.0171794
-0.2    0.2     20      25      0.915392        0.00552066       0.00567087
0.2     0.3     20      25      0.845063        0.01489  0.015799
0.3     0.8     20      25      0.962959        0.00318899       0.00338114
0.8     1.2     20      25      0.783552        0.008309         0.00848179
1.2     1.6     20      25      0.943038        0.00491276       0.00504057
1.6     2.1     20      25      0.951243        0.00395466       0.00407511
2.1     2.4     20      25      0.944344        0.00589119       0.00611657
-2.4    -2.1    25      30      0.959901        0.00380123       0.00404636
-2.1    -1.6    25      30      0.962838        0.00307679       0.00321565
-1.6    -1.2    25      30      0.9471  0.00336106       0.00351011
-1.2    -0.8    25      30      0.79411 0.00673089       0.00675164
-0.8    -0.3    25      30      0.967573        0.00245129       0.00251426
-0.3    -0.2    25      30      0.799001        0.0114272        0.0116792
-0.2    0.2     25      30      0.918288        0.00359221       0.00366719
0.2     0.3     25      30      0.862575        0.0105072        0.0108139
0.3     0.8     25      30      0.961931        0.00249278       0.00258409
0.8     1.2     25      30      0.796038        0.00632091       0.00646726
1.2     1.6     25      30      0.942414        0.00345708       0.00368239
1.6     2.1     25      30      0.951858        0.00308215       0.0031796
2.1     2.4     25      30      0.947565        0.00493276       0.00515418
-2.4    -2.1    30      40      0.960169        0.00242396       0.00244369
-2.1    -1.6    30      40      0.950251        0.00188148       0.00186637
-1.6    -1.2    30      40      0.944896        0.00207287       0.00201919
-1.2    -0.8    30      40      0.806467        0.00316907       0.00312627
-0.8    -0.3    30      40      0.966314        0.00115545       0.00116466
-0.3    -0.2    30      40      0.792383        0.00599633       0.00611807
-0.2    0.2     30      40      0.91871 0.00194385       0.00195642
0.2     0.3     30      40      0.850957        0.00525145       0.00532294
0.3     0.8     30      40      0.964137        0.00119777       0.0012074
0.8     1.2     30      40      0.794293        0.00317509       0.00318567
1.2     1.6     30      40      0.938518        0.00205618       0.00207621
1.6     2.1     30      40      0.953782        0.00164205       0.00167903
2.1     2.4     30      40      0.949026        0.0026978        0.00273942
-2.4    -2.1    40      60      0.958314        0.00208104       0.00212851
-2.1    -1.6    40      60      0.950518        9.7316e-05       9.7316e-05
-1.6    -1.2    40      60      0.947038        0.00142435       0.00142938
-1.2    -0.8    40      60      0.792261        0.0024962        0.0025019
-0.8    -0.3    40      60      0.962944        0.000939705      0.000956649
