#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      13      0.871623        0.0103932        0.0109062
-2.1    -1.6    10      13      0.904134        0.00746002       0.00781827
-1.6    -1.2    10      13      0.917625        0.0070384        0.0074622
-1.2    -0.8    10      13      0.917487        0.00982351       0.0105915
-0.8    -0.3    10      13      0.932624        0.00846445       0.00917404
-0.3    -0.2    10      13      0.722718        0.0510326        0.0560423
-0.2    0.2     10      13      0.925582        0.0120554        0.0135075
0.2     0.3     10      13      0.812947        0.0355086        0.0431241
0.3     0.8     10      13      0.929687        0.00820706       0.00888282
0.8     1.2     10      13      0.925161        0.00778879       0.00834679
1.2     1.6     10      13      0.915054        0.00780679       0.00810885
1.6     2.1     10      13      0.906644        0.00740578       0.00762913
2.1     2.4     10      13      0.897516        0.0109025        0.0107443
-2.4    -2.1    13      16      0.907442        0.00810147       0.00849617
-2.1    -1.6    13      16      0.911608        0.00544667       0.00554204
-1.6    -1.2    13      16      0.932929        0.00494747       0.00520439
-1.2    -0.8    13      16      0.933907        0.00592134       0.00612057
-0.8    -0.3    13      16      0.941001        0.0056375        0.00587733
-0.3    -0.2    13      16      0.769469        0.0276052        0.0287135
-0.2    0.2     13      16      0.914897        0.00846926       0.00912614
0.2     0.3     13      16      0.817307        0.0265737        0.0285056
0.3     0.8     13      16      0.932911        0.00557751       0.00588155
0.8     1.2     13      16      0.929105        0.00575767       0.00627536
1.2     1.6     13      16      0.922901        0.0056669        0.00583784
1.6     2.1     13      16      0.918322        0.00576539       0.00596043
2.1     2.4     13      16      0.894978        0.00880347       0.00871862
-2.4    -2.1    16      20      0.899442        0.00580125       0.0059185
-2.1    -1.6    16      20      0.922954        0.00349413       0.00354698
-1.6    -1.2    16      20      0.934184        0.00337688       0.00350128
-1.2    -0.8    16      20      0.933364        0.0035437        0.00362965
-0.8    -0.3    16      20      0.936761        0.00316696       0.00327503
-0.3    -0.2    16      20      0.793288        0.0152595        0.0157906
-0.2    0.2     16      20      0.924172        0.00445454       0.00462681
0.2     0.3     16      20      0.841518        0.0129746        0.0133005
0.3     0.8     16      20      0.948201        0.00336108       0.00364457
0.8     1.2     16      20      0.927759        0.00381821       0.00389326
1.2     1.6     16      20      0.931386        0.00347049       0.00349074
