#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low
-2.4    -2.1    10      20      0       0        0
-2.1    -1.6    10      20      0       0        0
-1.6    -1.2    10      20      0       0        0
-1.2    -0.8    10      20      0       0        0
-0.8    -0.3    10      20      0       0        0
-0.3    -0.2    10      20      0       0        0
-0.2    0.2     10      20      0       0        0
0.2     0.3     10      20      0       0        0
0.3     0.8     10      20      0       0        0
0.8     1.2     10      20      0       0        0
1.2     1.6     10      20      0       0        0
1.6     2.1     10      20      0       0        0
2.1     2.4     10      20      0       0        0
-2.4    -2.1    20      21      0.0164181       0.0040373        0.00347634
-2.1    -1.6    20      21      0       0        0
-1.6    -1.2    20      21      0       0        0
-1.2    -0.8    20      21      0       0        0
-0.8    -0.3    20      21      0       0        0
-0.3    -0.2    20      21      0       0        0
-0.2    0.2     20      21      0       0        0
0.2     0.3     20      21      0       0        0
0.3     0.8     20      21      0       0        0
0.8     1.2     20      21      0       0        0
1.2     1.6     20      21      0       0        0
1.6     2.1     20      21      0.0107913       0.00275305       0.00252151
2.1     2.4     20      21      0.0158184       0.00387568       0.0033346
-2.4    -2.1    21      22      0.025748        0.00524854       0.00524854
-2.1    -1.6    21      22      0.0178979       0.0033745        0.00302267
-1.6    -1.2    21      22      0.0138423       0.00317024       0.00288816
-1.2    -0.8    21      22      0       0        0
-0.8    -0.3    21      22      0       0        0
-0.3    -0.2    21      22      0       0        0
-0.2    0.2     21      22      0       0        0
0.2     0.3     21      22      0       0        0
0.3     0.8     21      22      0       0        0
0.8     1.2     21      22      0.0103437       0.00224463       0.00196089
1.2     1.6     21      22      0.0104204       0.00323147       0.00292988
1.6     2.1     21      22      0.0166711       0.00294217       0.00270135
2.1     2.4     21      22      0.0246235       0.00564965       0.0051083
-2.4    -2.1    22      23      0.0985248       0.00871871       0.00844476
-2.1    -1.6    22      23      0.0993185       0.00577188       0.00560834
-1.6    -1.2    22      23      0.0633591       0.00559788       0.00537267
-1.2    -0.8    22      23      0.0554096       0.00455298       0.00433086
-0.8    -0.3    22      23      0.0494685       0.00418306       0.00405965
-0.3    -0.2    22      23      0.045603        0.00959779       0.00841442
-0.2    0.2     22      23      0.0521714       0.0046672        0.00442931
0.2     0.3     22      23      0.0484993       0.0102684        0.00921108
0.3     0.8     22      23      0.0542878       0.0040925        0.00390793
0.8     1.2     22      23      0.0662718       0.00499774       0.00476424
