mH_GeV   XS_pb      Scale_pos  Scale_neg  PDF_plus_alpha_s XS_W_plus_pb  XS_W_minus_pb
10.00    2.392E+02  +1.1       -2.0              2.2        1.390E+02  1.002E+02 
15.00    1.487E+02  +0.7       -2.0              2.2        8.671E+01  6.201E+01 
20.00    9.931E+01  +1.2       -1.5              2.2        5.801E+01  4.130E+01 
25.00    7.006E+01  +1.0       -1.7              2.1        4.109E+01  2.897E+01 
30.00    5.108E+01  +0.8       -1.6              2.1        3.000E+01  2.108E+01 
35.00    3.822E+01  +0.7       -1.4              2.1        2.250E+01  1.572E+01 
40.00    2.925E+01  +0.6       -1.3              2.0        1.730E+01  1.195E+01 
45.00    2.278E+01  +0.5       -1.3              2.0        1.350E+01  9.282E+00 
50.00    1.800E+01  +0.7       -1.2              1.9        1.069E+01  7.311E+00 
55.00    1.443E+01  +0.7       -1.2              1.9        8.581E+00  5.848E+00 
60.00    1.170E+01  +0.6       -1.2              1.9        6.971E+00  4.727E+00 
65.00    9.577E+00  +0.5       -1.0              1.9        5.725E+00  3.852E+00 
70.00    7.920E+00  +0.3       -1.0              1.9        4.745E+00  3.175E+00 
75.00    6.591E+00  +0.4       -0.9              1.9        3.955E+00  2.636E+00 
80.00    5.538E+00  +0.3       -0.9              1.9        3.331E+00  2.207E+00 
85.00    4.675E+00  +0.5       -0.8              1.8        2.816E+00  1.859E+00 
90.00    3.977E+00  +0.5       -0.7              1.8        2.402E+00  1.575E+00 
95.00    3.401E+00  +0.4       -0.7              1.8        2.058E+00  1.343E+00 
100.00   2.926E+00  +0.4       -0.8              1.8        1.775E+00  1.151E+00 
105.00   2.531E+00  +0.3       -0.8              1.8        1.538E+00  9.934E-01 
110.00   2.194E+00  +0.5       -0.5              1.8        1.335E+00  8.587E-01 
115.00   1.917E+00  +0.3       -0.7              1.8        1.169E+00  7.478E-01 
120.00   1.679E+00  +0.5       -0.6              1.8        1.026E+00  6.525E-01 
125.00   1.475E+00  +0.5       -0.7              1.9        9.034E-01  5.720E-01 
130.00   1.303E+00  +0.4       -0.7              1.8        7.995E-01  5.033E-01 
135.00   1.153E+00  +0.5       -0.8              1.8        7.087E-01  4.447E-01 
140.00   1.025E+00  +0.5       -0.8              1.9        6.308E-01  3.940E-01 
145.00   9.128E-01  +0.5       -0.8              1.9        5.630E-01  3.498E-01 
150.00   8.154E-01  +0.5       -0.8              1.9        5.037E-01  3.117E-01 
160.00   6.562E-01  +0.6       -0.8              1.9        4.068E-01  2.494E-01 
170.00   5.339E-01  +0.7       -0.9              1.9        3.321E-01  2.018E-01 
180.00   4.380E-01  +0.7       -0.8              1.9        2.734E-01  1.646E-01 
190.00   3.625E-01  +0.7       -0.9              1.9        2.270E-01  1.355E-01 
200.00   3.023E-01  +0.7       -0.8              1.9        1.899E-01  1.124E-01 
210.00   2.538E-01  +0.7       -0.9              2.0        1.600E-01  9.383E-02 
220.00   2.144E-01  +0.8       -0.9              2.0        1.355E-01  7.893E-02 
230.00   1.824E-01  +0.8       -1.0              2.0        1.156E-01  6.678E-02 
240.00   1.559E-01  +0.9       -1.0              2.0        9.916E-02  5.675E-02 
250.00   1.340E-01  +0.9       -0.9              2.0        8.547E-02  4.853E-02 
260.00   1.158E-01  +0.9       -1.0              2.0        7.404E-02  4.172E-02 
270.00   1.004E-01  +0.9       -1.0              2.0        6.442E-02  3.602E-02 
280.00   8.750E-02  +1.0       -1.0              2.1        5.626E-02  3.124E-02
290.00   7.656E-02  +1.0       -1.0              2.1        4.937E-02  2.719E-02
300.00   6.724E-02  +1.0       -1.0              2.2        4.348E-02  2.376E-02
310.00   5.925E-02  +1.0       -1.1              2.2        3.841E-02  2.084E-02
320.00   5.238E-02  +1.1       -1.0              2.2        3.404E-02  1.834E-02
330.00   4.645E-02  +1.1       -1.0              2.3        3.026E-02  1.619E-02
340.00   4.133E-02  +1.1       -1.0              2.3        2.699E-02  1.434E-02
