mH_GeV   XS_pb       Scale_pos  Scale_neg  PDF_plus_alpha_s  PDF    alpha_S  One_Plus_deltaEW
10.00    2.669E+01    +7.8       -9.9       3.2               2.6   1.8      0.980  
30.00    8.867E+00    +7.2       -9.7       3.3               2.7   1.8      1.003  
70.00    2.113E+00    +6.4       -9.4       3.4               2.8   1.9      1.018  
100.00   9.146E-01    +6.1       -9.3       3.5               2.9   1.9      1.020  
120.00   5.598E-01    +5.9       -9.3       3.6               3.0   2.0      1.018  
125.00   4.987E-01    +5.8       -9.2       3.6               3.0   2.0      1.017  
130.00   4.465E-01    +5.8       -9.3       3.6               3.0   2.0      1.017  
150.00   2.925E-01    +5.8       -9.3       3.7               3.1   2.0      1.008  
200.00   1.222E-01    +6.0       -9.6       4.0               3.5   2.1      0.999  
250.00   6.398E-02    +6.5      -10.0       4.4               3.9   2.1      0.991  
300.00   3.948E-02    +7.1      -10.6       4.9               4.4   2.2      0.989  
400.00   1.985E-02    +7.9      -11.4       5.8               5.3   2.2      0.995  
500.00   1.162E-02    +8.7      -12.0       6.5               6.0   2.3      1.039  
750.00   3.650E-03    +9.9      -13.0       8.0               7.6   2.6      1.132  
1000.00  1.263E-03   +10.6      -13.6       9.5               9.0   2.9      1.211  
1500.00  1.860E-04   +11.4      -14.4      12.6              12.0   3.6      1.400  
2000.00  3.308E-05   +12.4      -15.2      16.1              15.4   4.6      1.642  
2500.00  6.711E-06   +13.5      -16.0      20.0              19.1   5.8      1.934  
3000.00  1.466E-06   +14.6      -16.9      24.2              23.1   7.2      2.314  
