mH_GeV   XS_pb       Scale_pos  Scale_neg  PDF_plus_alpha_s  PDF  alpha_S
10.00    1.121E+01    +1.0    -0.7     2.0     1.8     0.9
15.00    1.074E+01    +1.0    -0.6     2.0     1.8     0.8
20.00    1.025E+01    +0.9    -0.6     2.0     1.8     0.8
25.00    9.769E+00    +0.8    -0.6     2.0     1.8     0.8
30.00    9.299E+00    +0.9    -0.5     2.0     1.8     0.8
35.00    8.847E+00    +0.8    -0.5     1.9     1.8     0.8
40.00    8.419E+00    +0.8    -0.5     1.9     1.8     0.7
45.00    8.011E+00    +0.8    -0.4     1.9     1.8     0.7
50.00    7.627E+00    +0.8    -0.4     1.9     1.8     0.7
55.00    7.264E+00    +0.7    -0.4     1.9     1.8     0.7
60.00    6.924E+00    +0.7    -0.4     1.9     1.8     0.7
65.00    6.603E+00    +0.7    -0.4     1.9     1.8     0.7
70.00    6.301E+00    +0.7    -0.4     1.9     1.8     0.7
75.00    6.016E+00    +0.6    -0.3     1.9     1.8     0.7
80.00    5.748E+00    +0.6    -0.3     1.9     1.8     0.6
85.00    5.496E+00    +0.6    -0.3     1.9     1.8     0.6
90.00    5.258E+00    +0.6    -0.3     1.9     1.8     0.6
95.00    5.034E+00    +0.6    -0.3     1.9     1.8     0.6
100.00    4.822E+00    +0.5    -0.3     1.9     1.8     0.6
105.00    4.623E+00    +0.5    -0.3     1.9     1.8     0.6
110.00    4.434E+00    +0.5    -0.2     1.9     1.8     0.6
115.00    4.255E+00    +0.5    -0.2     1.9     1.8     0.6
120.00    4.086E+00    +0.5    -0.2     1.9     1.8     0.6
125.00    3.925E+00    +0.5    -0.2     1.9     1.8     0.6
130.00    3.773E+00    +0.4    -0.2     1.9     1.8     0.6
135.00    3.629E+00    +0.4    -0.2     1.9     1.8     0.6
140.00    3.492E+00    +0.4    -0.2     1.9     1.8     0.5
145.00    3.362E+00    +0.4    -0.2     1.9     1.8     0.5
150.00    3.239E+00    +0.4    -0.2     1.9     1.8     0.5
160.00    3.010E+00    +0.4    -0.2     1.9     1.8     0.5
170.00    2.802E+00    +0.4    -0.2     1.9     1.8     0.5
180.00    2.612E+00    +0.3    -0.2     1.9     1.8     0.5
190.00    2.440E+00    +0.3    -0.2     1.9     1.8     0.5
200.00    2.282E+00    +0.3    -0.2     1.9     1.8     0.5
210.00    2.138E+00    +0.3    -0.2     1.9     1.8     0.5
220.00    2.006E+00    +0.3    -0.2     1.9     1.8     0.5
230.00    1.884E+00    +0.3    -0.1     1.9     1.8     0.4
240.00    1.772E+00    +0.3    -0.1     1.9     1.8     0.4
250.00    1.669E+00    +0.3    -0.1     1.9     1.8     0.4
260.00    1.573E+00    +0.3    -0.1     1.9     1.9     0.4
270.00    1.485E+00    +0.3    -0.1     1.9     1.9     0.4
280.00    1.403E+00    +0.3    -0.1     1.9     1.9     0.4
290.00    1.326E+00    +0.3    -0.1     1.9     1.9     0.4
300.00    1.256E+00    +0.3    -0.1     1.9     1.9     0.4
310.00    1.190E+00    +0.3    -0.1     1.9     1.9     0.4
