mH_GeV   XS_pb      Scale_pos  Scale_neg 
10.00    1.138E+02  +91.9      -60.4 
15.00    6.297E+01  +66.3      -52.8 
20.00    4.011E+01  +53.4      -47.4 
25.00    2.729E+01  +44.4      -43.4 
30.00    1.931E+01  +39.8      -40.3 
35.00    1.388E+01  +35.3      -37.6 
40.00    1.029E+01  +34.1      -39.8 
45.00    7.846E+00  +32.9      -40.9 
50.00    6.102E+00  +31.2      -40.2 
55.00    4.849E+00  +29.4      -39.0 
60.00    3.914E+00  +28.5      -37.5 
65.00    3.189E+00  +27.1      -36.1 
70.00    2.633E+00  +26.2      -34.5 
75.00    2.194E+00  +27.2      -33.1 
80.00    1.838E+00  +24.8      -31.7 
85.00    1.549E+00  +24.1      -30.5 
90.00    1.317E+00  +23.4      -29.4 
95.00    1.126E+00  +22.8      -28.4 
100.00   9.669E-01  +22.2      -27.5 
105.00   8.379E-01  +21.8      -26.6 
110.00   7.262E-01  +21.2      -25.8 
115.00   6.325E-01  +20.8      -25.1 
120.00   5.534E-01  +20.3      -24.4 
125.00   4.879E-01  +20.1      -23.9 
130.00   4.304E-01  +19.9      -23.3 
135.00   3.818E-01  +19.7      -22.8 
140.00   3.383E-01  +19.4      -22.3 
145.00   3.018E-01  +19.1      -21.8 
150.00   2.693E-01  +18.9      -21.4 
160.00   2.175E-01  +18.3      -20.4 
170.00   1.769E-01  +18.0      -19.7 
180.00   1.451E-01  +17.5      -19.1 
190.00   1.200E-01  +17.1      -18.5 
200.00   1.000E-01  +17.0      -18.0 
210.00   8.397E-02  +16.7      -17.7 
220.00   7.092E-02  +16.4      -17.5 
230.00   6.021E-02  +16.1      -17.2 
240.00   5.133E-02  +15.8      -17.0 
250.00   4.410E-02  +15.6      -16.7 
260.00   3.799E-02  +15.4      -16.5 
270.00   3.287E-02  +15.3      -16.3 
280.00   2.854E-02  +15.2      -16.2 
290.00   2.491E-02  +15.2      -16.1 
300.00   2.180E-02  +15.1      -15.9 
310.00   1.915E-02  +15.0      -15.8 
320.00   1.689E-02  +14.9      -15.7 
330.00   1.491E-02  +14.7      -15.6 
340.00   1.321E-02  +14.6      -15.6 
350.00   1.174E-02  +14.6      -15.5 
360.00   1.045E-02  +14.5      -15.4 
370.00   9.324E-03  +14.5      -15.3 
380.00   8.351E-03  +14.6      -15.2 
390.00   7.492E-03  +14.6      -15.1 
400.00   6.731E-03  +14.6      -15.0 
410.00   6.046E-03  +14.5      -15.0 
420.00   5.470E-03  +14.5      -15.0 
430.00   4.941E-03  +14.4      -14.9 
440.00   4.472E-03  +14.4      -14.9 
450.00   4.057E-03  +14.5      -14.9 
460.00   3.690E-03  +14.6      -14.8 
470.00   3.352E-03  +14.6      -14.8 
480.00   3.055E-03  +14.6      -14.8 
490.00   2.784E-03  +14.4      -14.7 
500.00   2.547E-03  +14.5      -14.8 
550.00   1.651E-03  +14.7      -14.7 
600.00   1.101E-03  +15.1      -14.9 
650.00   7.518E-04  +15.5      -15.0 
700.00   5.251E-04  +15.8      -15.1 
750.00   3.723E-04  +16.2      -15.0 
800.00   2.692E-04  +16.8      -15.3 
850.00   1.967E-04  +17.3      -15.7 
900.00   1.457E-04  +17.7      -16.0 
950.00   1.091E-04  +18.2      -16.2 
1000.00  8.258E-05  +18.4      -16.7 
1050.00  6.299E-05  +18.6      -17.2 
1100.00  4.856E-05  +18.8      -17.5 
1150.00  3.773E-05  +18.9      -18.1 
1200.00  2.950E-05  +19.1      -18.6 
1250.00  2.322E-05  +19.3      -19.2 
1300.00  1.863E-05  +19.7      -20.1 
1350.00  1.465E-05  +20.1      -20.9 
1400.00  1.172E-05  +20.5      -21.7 
1450.00  9.329E-06  +20.8      -22.5 
1500.00  7.618E-06  +21.5      -23.4 
1550.00  6.179E-06  +22.2      -24.0 
1600.00  5.038E-06  +23.1      -24.6 
1650.00  4.120E-06  +24.0      -25.2 
1700.00  3.380E-06  +24.8      -25.8 
1750.00  2.787E-06  +25.7      -26.4 
1800.00  2.303E-06  +26.6      -27.0 
1850.00  1.910E-06  +27.3      -27.7 
1900.00  1.586E-06  +28.0      -28.3 
1950.00  1.332E-06  +28.7      -28.9 
2000.00  1.105E-06  +29.4      -29.7 
2050.00  9.255E-07  +30.1      -30.4 
2100.00  7.769E-07  +30.7      -31.1 
2150.00  6.532E-07  +31.4      -32.0 
2200.00  5.511E-07  +32.1      -33.1 
2250.00  4.742E-07  +32.9      -34.0 
2300.00  3.941E-07  +34.1      -35.3 
2350.00  3.343E-07  +35.1      -36.4 
2400.00  2.837E-07  +36.2      -37.6 
2450.00  2.415E-07  +37.1      -38.7 
2500.00  2.059E-07  +38.3      -39.8 
2550.00  1.748E-07  +39.4      -41.1 
2600.00  1.466E-07  +41.0      -42.8 
2650.00  1.265E-07  +41.6      -43.6 
2700.00  1.090E-07  +42.9      -44.6 
2750.00  9.444E-08  +44.0      -45.4 
2800.00  8.022E-08  +46.1      -46.7 
2850.00  6.968E-08  +46.8      -47.3 
2900.00  5.972E-08  +48.3      -48.3 
2950.00  5.178E-08  +49.6      -49.2 
3000.00  4.467E-08  +51.1      -50.1 
